Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,432,-2.2995472697509762,1.0329133861485775,3
21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,587,-1.5975432795517093,0.6013757223058728,3
29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,377,-1.2242569840026603,0.1436123497692448,3
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,-2.681692187112737,-0.2432564197055327,3
28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,-0.45553839050094613,2.666824641641935,0
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,2.173658829724261,2.2437946609471973,0
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,-1.8130416451607267,-0.14362508453288508,3
25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,482,0.31567618702048444,0.15437437845378732,2
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,-2.0974304249443145,-0.22506726835712884,3
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,-2.0825882374419,-0.4033497110182333,3
24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,0.4320855724207335,-0.9183548683479702,2
25.9,62.8,25.8,35.6,31.2,19.0,1.48,5.3,411,1.740111654079754,0.8431636632895068,0
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,-2.280113500136,0.450153926784085,3
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,-2.4308165229293315,0.04002529647743859,3
28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,-1.035473241252688,0.2861853250030035,3
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,-2.272846782932818,-0.615678897069015,3
30.4,101.1,28.6,42.6,39.9,4.0,2.2,6.8,639,3.3583276807888724,0.6522372966854305,1
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,4.508770038295766,1.1151280108681871,1
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11.0,194,-1.5348518626825325,0.6363654374170585,3
28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,-1.4694994024096084,0.8643163843467551,3
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,3.104823233453539,0.9962651715476544,1
18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,-1.6341347770505545,0.15354159518937907,3
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,-1.1039552684958887,1.44033678132011,3
34.9,96.9,11.4,30.2,36.5,20.3,1.89,6.8,680,3.699608782616005,-1.3281314466121308,1
23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593,-2.0733494759712316,-0.8940501922163089,3
22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214,-1.3353750019774249,1.1321861352116969,3
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,-2.427258815554697,-0.5808716471446925,3
22.4,73.0,12.2,15.0,26.6,3.6,0.97,12.9,266,-1.9253943312958357,0.32669683383645554,3
32.3,82.0,8.8,18.7,29.8,14.7,2.03,5.7,600,2.3282999228241184,-1.4359053736494725,1
33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,1.3538430360533673,-1.1880547586649408,2
33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,0.91238599988611,-1.0785264950099074,2
25.5,48.0,15.5,19.9,18.6,7.7,1.04,10.3,503,-1.3046855980628658,0.5489078405930252,3
29.9,77.8,1.5,23.4,43.8,20.0,1.89,6.0,681,3.1004928683918256,-2.04799640267559,1
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,-1.659532543576161,-1.0193635829540004,3
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,0.37302948719933277,1.021831663861605,0
23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,-2.041214535034306,1.4024147966664913,3
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,-2.9651982366217218,0.11511835665666553,3
27.0,45.5,6.2,13.0,24.3,5.0,1.01,10.7,205,-2.1895572030314425,0.021329740599822473,3
22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316,-1.4144010443751382,0.87304772819743,3
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,2.1893670765819366,3.016558008334252,0
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,1.3952737674116447,-1.63063541340811,2
21.0,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,-2.368555048887278,-0.2872775276855638,3
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,1.8939376372694872,0.1250424869061628,2
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,-1.1336178669965344,0.23760996503706897,3
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,-2.9350681027318135,-0.3892456450294517,3
24.1,59.3,14.4,33.1,31.0,16.7,2.0,5.3,622,2.06465351186939,-0.17915698718599757,2
22.5,73.0,0.2,6.2,15.0,5.5,0.95,14.2,543,-2.360133634873147,-0.8293347777844104,3
26.7,57.9,50.0,59.6,26.3,9.4,1.68,6.3,541,2.1361202178167673,3.5181628086325762,0
24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,-2.195747601850879,-0.4875239786222816,3
32.0,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,-0.08105923317262605,-0.8115093948498995,2
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,2.81506638708339,0.902337842128071,1
32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410,1.6335486394438519,1.6042524609548614,0
33.0,56.8,1.9,5.0,36.1,7.6,1.75,7.5,481,0.5305594660321801,-1.8158832089431518,2
30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,1.082242219034979,-0.9119811585790756,2
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,-2.0320306630948743,-0.924257999307947,3
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,1.062233323586277,0.4103172438103313,2
28.3,40.6,2.3,6.9,25.3,4.0,0.88,12.5,590,-1.976178055550249,-0.7685089550282038,3
30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,0.6424591196016807,-1.6037667659316834,2
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,0.6902449154200402,-1.1577215114427004,2
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,0.06218894987702371,-1.6462483170066982,2
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10.0,435,-1.2139455680300193,-0.19365327629457427,3
29.6,78.9,9.3,19.0,31.3,11.2,1.74,6.8,714,1.7751937001633182,-1.2148572271917426,2
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,1.3095425835484162,0.7610548703827035,0
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,-3.5412217987344876,0.12636955920018525,3
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,0.4042849686697644,-0.019489585589266167,2
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,2.439173024986822,1.5318831004969313,0
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,-0.5501064578965964,0.8607463616659566,3
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,-0.8494744512634249,-0.9279776638711834,3
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,-2.38571489953883,-0.6896565088682506,3
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,0.8332980512794997,-1.1639620902610845,2
27.4,63.0,11.0,21.1,23.2,9.6,1.27,6.6,333,-0.30727701543026764,-0.02762964169959426,2
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,-2.4543951359621046,-0.5373152421156038,3
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,5.810143338226492,-0.1857623039507088,1
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,-0.8561542680781041,1.665668092785989,3
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,-2.2813639920590973,-0.4001612264121206,3
42.6,94.6,17.9,30.1,44.3,4.0,1.91,2.6,525,3.6670854825984307,-0.7779484049291059,1
29.0,64.0,8.6,21.6,26.6,8.1,1.53,5.0,647,0.9142362694752532,-0.7168641318515833,2
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,0.7705659997157119,-0.8216994062961521,2
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,5.465977437102105,0.1932689328828444,1
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,0.4387146612663494,-0.8858868651897692,2
33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,2.374968894143791,1.362286118456883,0
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,-1.4132216164671725,1.5410687026628525,3
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,1.1020656379105203,-0.9300546258297251,2
33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686,3.1744120747683087,-1.4314373938598701,1
25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517,-1.4950789411400698,0.18133543505543365,3
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,1.6091765043024095,-0.002429212331991224,2
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,3.2331032107069086,2.315696325253471,0
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,0.030633849008699508,-0.057827143431345034,2
15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,-2.6219889552828097,-0.10658221047719518,3
31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,1.4543498171804237,0.19173043826176206,2
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,-1.00216656615057,1.8078680196498325,3
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,1.2733180739234262,-1.5243840624362053,2
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,-1.6252876058956953,-0.9059759923154046,3
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,-2.3675684673153254,-0.5294733452700232,3
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,3.221487796608934,0.6547960365253811,1
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,0.4231254832320955,0.7195365861350129,2
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,2.3342559453535006,-1.7492786583336242,1
23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500,-1.6402960172732153,1.1767406980369903,3
24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,0.671540199730916,-1.4580022340428478,2
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,3.371908848850935,2.0830446864568772,0
14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238,-3.036822189420626,-0.04978980428666478,3
27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,1.4235553595437516,3.5004493424562386,0
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,-2.0686842392970095,-0.43462468926610864,3
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488,3.563000617482178,1.4069058183385785,1
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,0.9246352480970608,0.5532865012186416,2
31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572,-1.1968206920482394,0.013642943273473006,3
28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,0.9138434484002671,-1.3419950228129751,2
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,2.9813069308372118,-1.7163896982207814,1
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,2.5262443548870697,2.6249579596091475,0
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,1.9991408218159652,-0.045592648823556,2
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,1.6621419579514467,3.0416825775091216,0
24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368,-2.036718506012074,0.08832397142922817,3
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,0.8227066725225718,0.5064649594195463,2
27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,0.4457494837054405,0.5795560339823446,2
26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,-1.1502354244437978,0.522017057101595,3
24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,1.5147372549001512,0.4197392204063151,2
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,-1.101764786961128,0.06089329869595923,3
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,-1.9092928410687575,0.2799704633373966,3
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,-2.2411757727588166,-0.49495394457007,3
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500,-2.479809395102419,-0.3140337589666099,3
32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,1.5413789466912902,0.8632530054754354,0
25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,-2.353130881854223,-0.04432647284874077,3
32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518,0.9497679870045345,0.7117316650205315,2
28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,2.1953651249808783,0.3450925499218276,1
26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547,-1.8248673661983876,-0.41048590645933314,3
28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,3.9114207608296003,1.6889741663544837,0
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389,1.4455683569581308,-0.6029093018025994,2
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,-3.106989912089183,-0.094983320378276,3
36.6,78.5,6.0,25.9,45.5,17.8,1.58,4.0,470,3.0856225639331027,-1.5648999271044581,1
29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,1.0435650418887135,-0.6498514700644806,2
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,-1.4520919064988476,-1.248901170257127,3
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,-1.6973831271307322,-1.1148289281551989,3
23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371,-1.2902578342567517,0.9281102745397481,3
43.1,75.5,6.4,14.2,38.8,11.0,2.24,9.0,644,2.816696924757133,-2.0568117247197417,1
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,-0.07638823376572926,-0.18041279217893005,2
28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334,-2.445228093672496,0.5980790773677004,3
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,2.0751231619217525,-1.1463932784880373,2
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,-1.8804688524596214,0.39393227396538544,3
30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429,2.784917138192073,-1.3953407653656194,1
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,-2.3951916355280907,0.32496317013269366,3
29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,0.4680477277868001,-1.0793636681095156,2
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,-2.2627663418773256,-0.05340564489095666,3
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,1.6627032678280573,-1.7810795171101927,2
23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,-2.5198490380345047,0.0800060542121251,3
26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457,1.8652015752932343,-1.6029989875303305,2
31.3,100.3,7.0,26.4,30.4,20.2,2.19,4.2,770,3.8487386148624223,-1.8459904134281606,1
29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225,-1.5895104831575115,-0.3924450277251085,3
25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488,1.9745684442255633,1.6575706353003117,0
26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412,-1.785400296174459,-0.21123688560901854,3
23.9,61.4,28.2,40.3,37.0,11.3,1.56,6.9,559,1.6873115422683689,1.226777145855288,0
23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438,-2.370680651222376,-0.3862385145468629,3
32.4,83.3,2.3,18.4,30.9,15.1,1.54,5.0,355,1.4120989587801218,-1.474757743570612,2
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,-1.3183380446843609,-0.4515693418038075,3
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447,1.1275614650288253,-1.1050301135650253,2
33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,-0.14871214921707088,-1.4239334907281234,2
26.0,54.9,16.6,22.4,21.3,7.0,1.02,12.2,210,-1.8157168236661665,1.0074114453802592,3
28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379,-1.4584679517409571,-0.48834380051380283,3
23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,-2.22497080581957,-0.6474257570493706,3
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,-2.2929699119525178,-0.7906069089613161,3
22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,-3.310372006441055,-0.20070150185761687,3
33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633,1.2775067576580206,-1.5083177335523623,2
47.2,78.4,17.9,46.0,42.9,21.1,2.36,2.8,517,5.505670575507954,-0.6874273208206167,1
35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661,0.991494313983009,-1.5572381721461743,2
29.5,72.7,9.3,25.0,21.2,9.7,1.59,7.5,404,0.33655603755793123,-0.2251487600253917,2
31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451,-2.5645295769345133,-0.574330375162512,3
21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207,-2.5444606066188395,-0.43193266538460806,3
40.0,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745,2.2456513004812146,0.5847450696527451,0
39.1,82.4,24.3,49.8,28.2,11.5,2.03,8.5,818,3.580335635901015,0.5832038271833534,1
27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253,-2.0954443241028122,1.293937664683382,3
26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,1.0775329840539931,0.1468126019755408,2
29.7,74.4,0.6,6.0,22.4,3.5,0.74,11.6,583,-1.501396748421398,-1.1794767637216668,3
25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473,1.6958125145637484,-1.0342453275078252,2
25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541,-1.7366742461023181,-0.6418420630056434,3
30.8,67.6,6.0,15.4,29.2,6.0,1.42,8.7,564,0.1923933306170929,-0.9422403963215449,2
30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,0.3862126306072795,-1.9355129294465725,2
21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,-2.669059920679207,-0.5657482054392193,3
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,0.5139558578164689,-1.4909962906136107,2
24.1,47.5,22.8,26.0,26.5,4.1,0.91,12.2,406,-1.5384751763781654,1.4406409341336623,3
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,2.2252348901890477,1.4580257732665263,0
25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514,-1.5983158674671933,-0.0889157004916747,3
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,-1.7268582302309645,1.1086257935071897,3
23.1,100.8,7.4,30.0,28.5,16.3,1.8,7.2,711,2.2445607059830683,-1.0071992855775855,1
35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619,2.733026488322633,0.26770125555279506,1
30.5,75.1,21.5,34.0,25.6,7.6,1.21,6.1,401,0.7207938127254525,0.8673541502381581,0
32.0,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662,0.21998344901535788,-1.218158799042711,2
28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271,-2.4646461053994098,-0.1364645775754958,3
27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629,-0.4233228429459062,-0.8224762675060368,2
30.2,77.2,34.4,44.0,33.6,12.7,1.34,6.4,372,1.9756391713107415,1.7164588541218002,0
26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,-2.5906078283296585,-0.45335245150260717,3
26.5,52.8,1.2,10.0,26.5,3.4,0.91,12.1,377,-2.144805899298464,-0.5659219948105055,3
20.3,66.8,18.9,21.1,25.5,5.0,0.96,11.3,416,-1.3919452321863601,0.8501436449090929,3
30.0,66.1,17.3,25.3,30.5,6.0,1.55,8.0,482,0.6458441938198077,0.17305070125271163,2
26.2,41.0,0.3,6.4,23.4,7.3,1.05,10.5,432,-1.9423342391192393,-0.864086530056494,3
24.6,46.5,5.9,13.0,14.2,6.7,0.96,10.5,547,-2.01227964092072,-0.1633812444224042,3
24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,-2.166404549141716,-0.4832193313209497,3
22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516,-1.3772279657805115,0.5315167162127263,3
23.8,57.9,21.9,27.3,21.9,4.3,1.02,11.1,336,-1.4587334257081814,1.441423298318843,3
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,1.5905403430094491,-1.3675248727311677,2
29.0,51.7,8.4,13.0,16.5,5.0,1.01,10.1,226,-2.166098160749942,0.15272204798388025,3
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,-1.4310947418848936,0.4750533119155927,3
24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355,-1.4368337672548537,0.7299554782573886,3
21.9,77.4,21.1,27.8,21.1,4.5,1.03,10.0,384,-0.9890260536563107,1.187993070998701,3
23.7,75.4,8.4,15.0,24.2,2.6,1.01,11.5,275,-1.8371602095206452,0.05249646391474063,3
26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,-2.3478669327203048,-0.5692543950152923,3
32.8,81.0,13.6,22.2,35.2,7.3,1.31,9.1,534,1.0351337908684994,-0.4734188210944928,2
