,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density
156,33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613
157,23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437
158,28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562
159,33.5,97.1,10.5,24.1,26.8,16.5,2.13,5.1,686
160,25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517
161,30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609
164,35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664
166,29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451
167,15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549
168,31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713
170,21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340
171,30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399
172,28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458
173,31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233
174,22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818
175,25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612
177,31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549
179,23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500
181,24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728
182,32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493
183,14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238
184,27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364
185,21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391
186,31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488
187,28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405
188,31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572
189,28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405
190,38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806
193,28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544
194,33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714
195,32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513
196,24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368
197,29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629
199,27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490
200,26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506
201,24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585
202,28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600
203,24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354
205,25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386
206,22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500
207,32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516
208,25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231
209,32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518
210,28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631
211,26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547
212,28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662
215,30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389
216,25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379
217,36.6,78.5,6.0,25.9,45.5,17.8,1.58,4.0,470
218,29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472
221,27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536
222,30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470
223,23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371
224,43.1,75.5,6.4,14.2,38.8,11.0,2.24,9.0,644
225,29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502
226,28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334
227,34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450
228,20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430
229,30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429
230,23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362
233,29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402
234,24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497
235,32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701
237,23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292
238,26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457
239,31.3,100.3,7.0,26.4,30.4,20.2,2.19,4.2,770
240,29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225
241,25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488
242,26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412
243,23.9,61.4,28.2,40.3,37.0,11.3,1.56,6.9,559
244,23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438
247,32.4,83.3,2.3,18.4,30.9,15.1,1.54,5.0,355
248,26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389
250,34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447
251,33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351
252,26.0,54.9,16.6,22.4,21.3,7.0,1.02,12.2,210
253,28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379
254,23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493
255,25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492
256,22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212
257,33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633
258,47.2,78.4,17.9,46.0,42.9,21.1,2.36,2.8,517
259,35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661
260,29.5,72.7,9.3,25.0,21.2,9.7,1.59,7.5,404
261,31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451
262,21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207
263,40.0,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745
264,39.1,82.4,24.3,49.8,28.2,11.5,2.03,8.5,818
265,27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253
268,26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576
270,29.7,74.4,0.6,6.0,22.4,3.5,0.74,11.6,583
271,25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473
272,25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541
273,30.8,67.6,6.0,15.4,29.2,6.0,1.42,8.7,564
274,30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696
275,21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381
276,33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504
277,24.1,47.5,22.8,26.0,26.5,4.1,0.91,12.2,406
278,35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629
279,25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514
280,24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443
281,23.1,100.8,7.4,30.0,28.5,16.3,1.8,7.2,711
283,35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619
284,30.5,75.1,21.5,34.0,25.6,7.6,1.21,6.1,401
285,32.0,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662
286,28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271
288,27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629
290,30.2,77.2,34.4,44.0,33.6,12.7,1.34,6.4,372
293,26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330
295,26.5,52.8,1.2,10.0,26.5,3.4,0.91,12.1,377
296,20.3,66.8,18.9,21.1,25.5,5.0,0.96,11.3,416
297,30.0,66.1,17.3,25.3,30.5,6.0,1.55,8.0,482
299,26.2,41.0,0.3,6.4,23.4,7.3,1.05,10.5,432
300,24.6,46.5,5.9,13.0,14.2,6.7,0.96,10.5,547
301,24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300
302,22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516
303,23.8,57.9,21.9,27.3,21.9,4.3,1.02,11.1,336
305,32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392
306,29.0,51.7,8.4,13.0,16.5,5.0,1.01,10.1,226
307,27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231
308,24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355
309,21.9,77.4,21.1,27.8,21.1,4.5,1.03,10.0,384
310,23.7,75.4,8.4,15.0,24.2,2.6,1.01,11.5,275
311,26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303
312,32.8,81.0,13.6,22.2,35.2,7.3,1.31,9.1,534
314,29.7,80.8,7.3,14.8,30.4,7.2,1.73,8.4,606
315,20.0,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407
316,32.9,66.9,5.2,8.6,30.6,14.0,1.47,10.5,485
317,21.8,69.0,0.7,7.9,10.2,6.3,0.95,11.6,489
318,20.5,58.3,1.8,6.7,14.6,4.8,0.78,16.0,260
319,25.4,59.1,16.0,16.6,15.2,6.8,1.04,10.5,439
321,40.6,95.1,37.4,46.7,42.9,21.3,2.16,2.8,679
323,28.5,69.0,16.3,25.3,23.0,7.7,1.71,5.5,344
324,30.3,86.7,6.2,30.2,36.5,17.8,2.31,2.9,465
326,28.0,76.6,24.8,35.9,28.1,13.4,1.53,7.4,440
327,27.0,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453
328,24.1,65.6,0.2,7.1,24.7,6.1,1.1,13.2,370
329,34.0,63.3,3.0,23.6,28.6,14.2,2.07,10.1,548
331,23.5,62.5,1.8,7.3,25.2,3.4,1.16,11.7,501
332,22.1,50.4,4.0,11.5,14.3,9.7,0.95,13.6,466
333,29.6,44.2,24.7,27.3,27.5,7.7,1.01,10.5,315
335,29.8,62.8,22.2,32.8,36.9,1.1,1.55,5.0,437
336,26.6,54.5,3.9,10.3,24.2,5.5,1.09,10.3,580
337,35.5,84.7,9.4,20.0,25.3,14.9,1.55,6.7,626
339,35.4,65.0,22.6,46.2,37.5,23.0,2.01,3.7,509
341,24.7,79.4,5.9,9.0,19.3,0.7,0.91,10.6,219
342,28.7,63.6,4.2,10.2,20.8,3.2,0.92,11.6,487
343,20.8,68.0,7.4,11.4,10.6,7.4,0.95,10.8,316
344,21.7,45.4,19.9,25.3,22.8,3.9,0.78,13.8,385
346,19.4,70.6,8.2,14.2,21.1,0.4,0.99,10.2,262
347,26.0,68.3,7.8,13.9,11.7,2.7,0.99,12.3,307
349,20.5,80.0,1.0,3.2,23.6,2.8,0.91,13.4,276
351,24.3,44.2,9.5,12.5,18.8,-0.2,0.83,10.6,341
352,34.0,73.4,3.5,18.7,29.6,8.2,1.38,6.5,522
353,37.0,93.9,17.0,34.1,33.3,11.4,1.86,3.1,684
354,29.2,60.6,1.7,16.0,32.7,13.3,1.91,7.2,637
355,23.1,43.1,4.1,7.9,22.7,8.0,1.03,10.1,499
356,19.6,55.5,0.1,3.9,18.9,5.3,1.1,10.6,198
357,26.3,66.7,1.3,5.7,16.4,5.9,0.97,15.6,205
358,24.0,56.9,2.9,6.9,13.0,8.2,1.14,11.3,360
359,24.3,48.2,16.8,25.9,19.4,3.9,0.97,14.8,544
360,25.3,77.0,4.6,11.2,20.1,6.4,1.03,11.3,282
361,27.8,78.1,1.1,19.8,26.7,10.7,1.28,9.3,376
362,44.0,80.4,18.0,29.5,27.9,8.5,2.12,4.1,685
363,22.6,46.7,19.2,26.8,26.5,6.7,0.82,13.7,354
364,30.8,47.7,11.0,16.4,25.7,5.5,1.11,10.1,332
365,22.5,68.9,3.9,8.4,12.8,4.8,1.08,10.5,447
367,26.7,54.1,4.7,16.1,21.0,6.3,1.24,5.7,613
368,27.3,67.7,2.4,9.2,24.6,7.6,1.13,11.1,249
369,26.3,47.2,3.0,5.5,24.7,0.7,1.08,10.7,368
370,38.1,61.3,8.5,27.1,21.9,13.0,1.61,5.5,343
372,26.6,55.2,9.7,11.1,23.5,15.7,1.87,7.1,576
373,35.7,49.1,18.1,26.5,29.1,13.4,2.24,3.9,649
374,30.6,72.5,7.3,12.3,28.1,10.0,1.68,5.4,555
376,27.8,74.4,13.2,22.2,22.8,6.5,1.69,5.4,422
377,30.7,76.4,18.3,31.9,27.6,11.6,1.54,5.9,516
378,23.5,67.6,0.2,4.3,24.5,6.4,1.19,14.6,412
379,39.0,87.2,32.8,43.8,29.9,9.0,1.03,7.6,482
380,33.5,43.8,46.5,61.9,22.9,5.2,1.71,10.8,523
382,21.8,53.6,1.9,13.1,20.8,9.0,1.43,5.0,309
383,27.4,64.6,21.8,37.7,22.3,5.6,1.45,6.4,465
384,31.3,65.1,26.0,33.8,27.3,22.0,2.01,4.4,631
385,29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295
386,30.6,93.2,5.5,9.5,28.7,15.3,1.41,5.9,393
387,36.6,68.4,28.3,42.4,44.2,6.6,2.11,3.8,726
388,28.2,50.1,8.9,16.9,17.6,0.8,1.05,10.4,291
390,25.6,49.2,1.5,5.8,10.9,3.8,1.04,15.7,293
392,31.5,71.1,20.4,35.1,39.2,10.9,2.11,10.5,562
393,41.1,71.6,6.9,30.1,37.9,8.3,1.8,3.8,713
394,25.6,66.5,8.5,14.5,12.9,3.7,0.94,13.2,354
395,24.9,47.8,3.3,7.8,17.1,6.7,1.05,13.4,581
396,24.8,58.3,13.8,19.1,14.5,9.5,1.0,12.2,437
397,27.6,73.0,9.8,18.7,29.8,19.9,1.62,4.6,705
398,32.4,80.4,36.4,52.2,36.8,21.1,1.76,9.0,643
399,34.4,72.7,26.3,39.6,29.3,14.9,1.51,9.0,439
400,27.8,49.2,9.9,14.9,23.8,7.4,1.04,10.5,441
401,41.7,93.9,8.3,22.4,36.1,22.3,2.06,3.8,497
402,30.2,61.0,21.4,31.3,18.7,7.4,1.48,6.9,638
403,27.1,51.4,33.1,36.6,12.1,8.4,1.03,11.1,241
405,24.4,77.3,19.6,24.8,41.2,17.6,1.85,3.8,656
406,28.9,56.2,30.9,40.8,23.7,9.1,1.63,6.4,572
407,26.6,38.3,9.7,14.7,20.3,5.2,1.07,11.4,375
408,24.4,48.1,14.8,19.8,24.5,4.3,0.87,12.0,381
409,27.4,44.7,12.7,22.1,22.0,8.7,1.18,5.8,363
411,36.6,49.9,2.0,14.5,30.5,9.1,1.29,5.4,565
412,35.7,73.1,2.8,7.9,26.9,14.5,1.77,6.2,421
414,36.7,81.2,17.3,37.3,32.9,17.5,1.9,4.0,445
415,24.2,55.2,11.6,28.8,24.8,9.9,1.5,7.8,350
416,29.6,53.4,2.6,9.9,22.2,4.6,1.09,13.7,297
417,33.0,56.9,17.9,20.6,33.1,7.0,1.84,5.6,606
418,20.9,69.9,0.4,6.7,23.2,4.4,0.87,15.2,520
419,25.7,42.0,10.0,17.4,22.7,7.2,1.16,10.4,384
420,30.0,87.5,33.8,43.1,28.7,12.2,1.63,6.3,561
421,23.7,73.8,3.1,4.2,11.1,4.1,0.97,14.5,447
422,21.2,64.0,0.8,7.1,15.7,4.7,0.87,13.1,456
423,23.1,43.9,5.9,8.1,20.4,5.4,1.06,11.1,564
424,21.7,53.2,10.9,15.2,25.4,6.7,1.02,16.2,301
425,23.5,46.1,2.8,8.1,24.4,6.4,1.09,11.9,357
426,39.2,73.7,23.5,44.1,43.7,15.4,2.49,3.0,787
429,32.9,63.2,13.1,24.0,23.1,4.1,1.32,11.1,522
430,32.5,55.7,5.6,10.7,26.0,12.7,1.54,5.7,298
432,24.0,45.4,0.8,6.6,13.5,5.0,1.11,12.1,603
433,33.1,69.0,6.8,15.0,36.9,15.0,1.55,3.7,712
434,33.6,46.6,4.1,9.1,21.0,5.8,0.92,13.8,204
435,23.9,56.6,43.9,53.1,16.5,7.1,1.13,10.8,520
436,32.0,71.7,7.6,19.2,22.9,10.4,1.28,5.4,560
437,20.5,56.2,3.8,10.4,12.3,3.1,0.98,14.5,459
438,26.8,60.5,1.3,9.1,16.4,4.6,0.94,11.5,359
439,29.7,75.5,27.5,33.0,23.8,8.2,1.32,7.3,554
440,28.5,66.5,42.6,52.4,23.2,9.6,1.63,7.9,463
442,20.9,50.7,0.7,7.2,11.5,3.2,0.82,12.2,298
443,26.4,58.4,10.6,15.2,26.4,6.8,1.0,10.0,350
444,28.4,38.8,1.8,8.4,10.5,5.6,0.99,12.5,560
445,24.1,67.6,2.9,8.9,10.8,4.4,0.96,12.4,480
446,41.3,82.5,51.7,59.3,29.5,8.0,1.61,5.3,479
447,25.9,44.8,1.7,7.4,24.4,6.4,0.97,10.4,574
448,26.7,56.9,5.8,10.7,17.3,5.7,0.83,10.9,257
449,30.7,76.4,13.8,18.9,23.5,2.8,0.9,12.9,302
450,38.3,86.8,38.0,50.8,22.5,7.1,1.41,5.4,311
451,24.2,58.2,35.6,39.3,16.7,5.0,0.92,10.6,360
452,40.9,81.8,0.7,15.7,27.7,17.9,1.82,5.9,577
453,16.4,46.2,16.8,20.2,16.0,1.6,0.8,14.4,189
454,31.1,75.3,1.5,4.9,21.1,2.0,1.14,10.5,337
455,27.8,94.0,44.7,59.3,29.8,12.5,1.46,5.7,687
457,22.0,69.7,32.0,34.7,28.9,3.8,1.21,10.6,239
458,40.1,61.7,2.3,17.0,31.4,21.5,2.13,4.8,788
459,24.1,70.9,5.0,9.7,17.4,2.2,0.97,13.7,366
460,31.6,55.9,22.2,30.6,22.9,8.2,1.46,6.4,581
463,31.2,75.2,56.6,62.7,23.7,15.6,1.4,5.8,480
464,24.1,43.5,0.0,5.1,13.8,5.2,0.91,11.8,399
466,27.7,54.0,17.6,23.2,24.6,11.1,1.27,7.8,638
468,27.1,50.4,45.6,51.1,14.3,6.4,1.1,10.3,371
469,36.3,71.7,3.7,10.5,27.1,6.6,1.29,5.6,488
470,27.7,76.3,12.7,17.5,24.9,7.8,1.02,11.5,536
471,39.3,67.4,12.1,19.7,22.3,7.5,1.75,5.1,514
472,25.0,77.9,2.1,8.6,12.3,-0.3,1.09,14.1,269
473,24.3,67.2,7.3,11.5,24.4,4.0,1.14,11.3,277
