,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
109,29.6,78.9,9.3,19.0,31.3,11.2,1.74,6.8,714,1.7751937001633182,-1.2148572271917426,2
112,23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,0.4042849686697644,-0.019489585589266167,2
117,31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,0.8332980512794997,-1.1639620902610845,2
118,27.4,63.0,11.0,21.1,23.2,9.6,1.27,6.6,333,-0.30727701543026764,-0.02762964169959426,2
124,29.0,64.0,8.6,21.6,26.6,8.1,1.53,5.0,647,0.9142362694752532,-0.7168641318515833,2
125,30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,0.7705659997157119,-0.8216994062961521,2
127,33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,0.4387146612663494,-0.8858868651897692,2
130,28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,1.1020656379105203,-0.9300546258297251,2
133,30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,1.6091765043024095,-0.002429212331991224,2
135,29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,0.030633849008699508,-0.057827143431345034,2
137,31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,1.4543498171804237,0.19173043826176206,2
139,30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,1.2733180739234262,-1.5243840624362053,2
143,25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,0.4231254832320955,0.7195365861350129,2
146,24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,0.671540199730916,-1.4580022340428478,2
152,28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,0.9246352480970608,0.5532865012186416,2
154,28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,0.9138434484002671,-1.3419950228129751,2
157,33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,1.9991408218159652,-0.045592648823556,2
160,29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,0.8227066725225718,0.5064649594195463,2
161,27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,0.4457494837054405,0.5795560339823446,2
163,24.5,93.6,22.3,31.7,22.4,11.6,1.81,8.3,585,1.5147372549001512,0.4197392204063151,2
170,32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518,0.9497679870045345,0.7117316650205315,2
174,30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389,1.4455683569581308,-0.6029093018025994,2
177,29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,1.0435650418887135,-0.6498514700644806,2
182,29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,-0.07638823376572926,-0.18041279217893005,2
184,34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,2.0751231619217525,-1.1463932784880373,2
188,29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,0.4680477277868001,-1.0793636681095156,2
190,32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,1.6627032678280573,-1.7810795171101927,2
192,26.7,100.1,3.9,18.1,30.7,15.5,1.62,3.7,457,1.8652015752932343,-1.6029989875303305,2
199,32.4,83.3,2.3,18.4,30.9,15.1,1.54,5.0,355,1.4120989587801218,-1.474757743570612,2
201,34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447,1.1275614650288253,-1.1050301135650253,2
202,33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,-0.14871214921707088,-1.4239334907281234,2
208,33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633,1.2775067576580206,-1.5083177335523623,2
210,35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661,0.991494313983009,-1.5572381721461743,2
211,29.5,72.7,9.3,25.0,21.2,9.7,1.59,7.5,404,0.33655603755793123,-0.2251487600253917,2
217,26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,1.0775329840539931,0.1468126019755408,2
219,25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473,1.6958125145637484,-1.0342453275078252,2
221,30.8,67.6,6.0,15.4,29.2,6.0,1.42,8.7,564,0.1923933306170929,-0.9422403963215449,2
222,30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,0.3862126306072795,-1.9355129294465725,2
224,33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,0.5139558578164689,-1.4909962906136107,2
232,32.0,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662,0.21998344901535788,-1.218158799042711,2
234,27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629,-0.4233228429459062,-0.8224762675060368,2
239,30.0,66.1,17.3,25.3,30.5,6.0,1.55,8.0,482,0.6458441938198077,0.17305070125271163,2
245,32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,1.5905403430094491,-1.3675248727311677,2
252,32.8,81.0,13.6,22.2,35.2,7.3,1.31,9.1,534,1.0351337908684994,-0.4734188210944928,2
253,29.7,80.8,7.3,14.8,30.4,7.2,1.73,8.4,606,0.9559300424369989,-1.2086954341693619,2
255,32.9,66.9,5.2,8.6,30.6,14.0,1.47,10.5,485,0.4421630328660437,-1.4566468024348755,2
260,28.5,69.0,16.3,25.3,23.0,7.7,1.71,5.5,344,0.5051620797464108,0.24336054076335212,2
263,27.0,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453,0.5750734964404338,-0.6060169459348547,2
265,34.0,63.3,3.0,23.6,28.6,14.2,2.07,10.1,548,1.4153652533460293,-1.1899735277987946,2
271,35.5,84.7,9.4,20.0,25.3,14.9,1.55,6.7,626,1.891045071945575,-1.2115957164551,2
281,34.0,73.4,3.5,18.7,29.6,8.2,1.38,6.5,522,0.8250488333094661,-1.1847704692893328,2
283,29.2,60.6,1.7,16.0,32.7,13.3,1.91,7.2,637,1.3577456515574422,-1.643066484133398,2
290,27.8,78.1,1.1,19.8,26.7,10.7,1.28,9.3,376,-0.1616169160568655,-0.8834372041356016,2
295,26.7,54.1,4.7,16.1,21.0,6.3,1.24,5.7,613,-0.44061619584088824,-0.695102857387552,2
298,38.1,61.3,8.5,27.1,21.9,13.0,1.61,5.5,343,1.0555436762626016,-0.4210245287225209,2
299,26.6,55.2,9.7,11.1,23.5,15.7,1.87,7.1,576,0.7021185864275521,-1.0630549035792296,2
301,30.6,72.5,7.3,12.3,28.1,10.0,1.68,5.4,555,1.0596571971641535,-1.327079592463637,2
302,27.8,74.4,13.2,22.2,22.8,6.5,1.69,5.4,422,0.4999782467387201,-0.1482743475334813,2
303,30.7,76.4,18.3,31.9,27.6,11.6,1.54,5.9,516,1.6034357664856353,0.16973393262069195,2
311,30.6,93.2,5.5,9.5,28.7,15.3,1.41,5.9,393,1.1118030370495418,-1.6404667359665377,2
320,27.6,73.0,9.8,18.7,29.8,19.9,1.62,4.6,705,2.1801777095183503,-1.3505686279509888,2
325,30.2,61.0,21.4,31.3,18.7,7.4,1.48,6.9,638,0.6788475277433668,0.7182599160064154,2
332,36.6,49.9,2.0,14.5,30.5,9.1,1.29,5.4,565,0.630842235942989,-1.3919598295545248,2
333,35.7,73.1,2.8,7.9,26.9,14.5,1.77,6.2,421,1.1783932584417243,-1.8767488397981111,2
335,24.2,55.2,11.6,28.8,24.8,9.9,1.5,7.8,350,-0.2506641281611856,0.4001563337260019,2
337,33.0,56.9,17.9,20.6,33.1,7.0,1.84,5.6,606,1.5547401271132804,-0.3781751292019042,2
348,32.5,55.7,5.6,10.7,26.0,12.7,1.54,5.7,298,0.1680744570530458,-1.073568373602656,2
353,32.0,71.7,7.6,19.2,22.9,10.4,1.28,5.4,560,0.6920947497566758,-0.832797082188064,2
375,31.6,55.9,22.2,30.6,22.9,8.2,1.46,6.4,581,0.839455650323117,0.6913538983082048,2
378,27.7,54.0,17.6,23.2,24.6,11.1,1.27,7.8,638,0.36545281593739876,0.15427396031388257,2
380,36.3,71.7,3.7,10.5,27.1,6.6,1.29,5.6,488,0.4651599612707171,-1.4264351931778445,2
382,39.3,67.4,12.1,19.7,22.3,7.5,1.75,5.1,514,1.3194601529458552,-0.7041314252336862,2
385,22.7,69.7,9.6,24.8,32.8,14.1,1.45,5.2,607,1.2571327252244715,-0.6459005894935749,2
390,37.0,59.3,20.7,31.3,25.3,8.6,1.22,7.5,430,0.7013396319342298,0.6813866039007016,2
394,33.1,80.3,2.6,8.1,29.5,16.8,1.37,5.3,584,1.489715255741901,-2.094448027575761,2
396,23.1,67.4,11.5,26.7,18.0,10.9,1.83,6.5,332,0.04653093896500786,0.19420799817602358,2
397,29.4,72.4,4.1,7.5,27.6,3.8,1.58,3.6,629,0.6211807683472069,-1.6021888630773837,2
399,30.3,84.5,14.1,28.8,31.1,21.1,1.42,12.1,506,1.5777467118144217,-0.3655035094158436,2
407,25.4,72.7,11.9,15.3,20.6,8.3,1.46,6.8,503,-0.05740126168377345,-0.4125137504981928,2
408,18.9,84.5,7.7,23.8,37.2,16.1,1.76,5.1,691,2.0894905005310487,-1.1923287010761043,2
414,44.3,59.3,6.0,17.3,28.9,10.5,1.79,5.1,643,2.127181927658712,-1.5996326676686121,2
420,26.2,63.2,12.7,26.2,27.1,14.3,1.92,5.8,509,1.3646202478892242,-0.3389663320955721,2
425,27.4,82.9,13.2,31.2,25.9,9.7,1.23,6.0,539,0.9395973209694612,0.0315638989440699,2
428,33.7,82.4,2.1,9.9,26.7,15.0,1.51,8.8,407,0.7205708380415226,-1.6928916697726757,2
432,31.0,66.8,8.7,16.8,25.0,22.1,1.4,5.9,798,1.957478784190529,-1.480024700218613,2
436,26.6,75.1,18.7,32.7,31.1,19.6,1.73,6.8,415,1.947063636294578,0.11863378675580108,2
439,33.7,57.2,20.3,33.5,27.5,15.6,1.74,5.3,531,2.049121107872864,0.2434332620365676,2
441,32.6,87.0,13.2,31.4,27.2,14.7,1.61,6.1,331,1.6835985228968913,-0.19730266354736084,2
445,36.3,60.8,19.8,29.7,22.1,14.6,1.27,16.3,495,0.08800765639853787,0.6737894030706927,2
447,26.3,70.5,5.7,18.9,31.5,11.7,1.24,5.4,645,0.9118561287822168,-1.0949709328634303,2
449,26.0,85.9,0.6,12.5,25.0,6.1,2.0,6.5,544,0.6682007016951297,-1.5914181850167928,2
450,35.1,81.6,1.7,11.2,35.3,15.5,1.72,16.6,438,0.6485106658370835,-1.705904894609876,2
455,28.4,86.1,10.8,26.9,26.7,10.8,1.26,5.5,674,1.398821734669838,-0.5767342340258823,2
464,27.6,69.8,16.8,30.0,27.7,8.9,1.74,12.2,564,0.6151632990975316,0.3346379632823661,2
466,29.5,60.6,1.0,18.5,26.1,7.5,1.55,8.9,438,-0.24590291535652134,-0.8772969939543338,2
467,25.1,51.5,5.2,14.8,27.3,8.4,1.7,8.8,551,-0.19269187117425213,-0.8112485380396669,2
468,34.9,78.5,2.8,19.1,29.1,17.8,1.47,6.0,534,1.7840121248350083,-1.6228901998625818,2
471,28.5,63.1,7.0,11.9,31.0,11.7,1.28,7.6,663,0.57192505650229,-1.2417936332221324,2
472,30.3,52.8,2.9,12.3,20.8,6.1,1.12,5.2,642,-0.38836957279927725,-1.0444538064621849,2
474,25.9,63.5,15.9,23.5,29.6,11.2,1.44,6.0,394,0.5293731219662458,0.07185924617441122,2
477,24.3,77.6,16.9,29.0,34.7,8.9,1.22,9.0,316,0.2232990001790626,0.4945640963503634,2
478,29.7,81.9,2.8,12.1,34.9,14.3,1.69,5.4,464,1.5455129779229837,-1.8392682771544369,2
483,38.2,59.2,3.9,19.5,23.6,10.1,1.39,13.5,648,0.15576362842816754,-0.9282644698065836,2
484,31.7,70.0,8.4,19.9,24.7,9.8,1.35,6.7,438,0.38692140295901734,-0.5891454069143073,2
488,27.8,76.1,1.9,10.1,39.1,4.5,1.97,5.6,479,1.0578085881714436,-1.7575863031345529,2
489,39.8,82.0,14.1,22.2,32.7,12.8,1.26,5.3,457,1.975938567413475,-0.7854467260348049,2
493,29.6,88.9,16.3,23.7,18.7,9.6,1.37,6.9,498,0.6801300166163025,-0.032667481479303886,2
501,30.4,60.3,11.3,11.9,24.9,3.7,1.44,6.7,635,0.06935882553677261,-0.6950483330488388,2
504,34.1,80.0,14.6,22.3,26.1,16.2,1.7,5.7,321,1.6214453702043006,-0.5220587157823375,2
505,31.8,81.3,3.4,12.6,20.9,13.5,1.19,5.6,494,0.5138893938377564,-1.3885493531752222,2
506,28.7,66.8,7.3,15.0,17.2,15.1,1.28,5.6,593,0.3898306012828017,-0.9473522790953283,2
509,26.4,66.0,3.5,14.4,23.7,7.0,1.74,5.0,511,0.24714990989106864,-1.0910110902114232,2
512,25.4,77.4,4.4,16.3,23.9,11.2,1.5,5.6,652,0.7565219448501685,-1.2364155619116037,2
516,31.0,73.1,23.4,32.4,31.7,12.9,1.57,6.1,464,1.8481602227625875,0.4476780662252146,2
520,29.3,79.8,3.9,13.9,21.9,6.4,1.72,7.0,337,-0.03678658672760845,-0.9711610968718125,2
524,33.4,69.8,5.8,14.5,38.2,8.4,1.66,12.0,444,0.5828474193396234,-1.1624122809155228,2
526,30.7,80.5,19.9,34.2,19.9,8.4,1.43,6.8,527,0.9911042881412966,0.6298247359989563,2
528,30.9,78.3,10.5,24.0,35.2,15.4,1.35,11.6,326,0.7387707783272144,-0.43841769881453396,2
533,27.2,75.0,2.6,15.4,23.5,10.7,1.31,6.2,500,0.14846985769258164,-1.1276885647523132,2
534,23.0,79.9,0.3,9.8,23.0,10.2,1.73,8.9,264,-0.6208366487124782,-1.181646881583299,2
537,29.6,74.8,15.3,28.4,20.2,10.4,1.45,5.6,373,0.5861682642060637,0.25808350601680224,2
538,23.4,86.5,6.0,21.3,21.1,20.9,2.44,6.3,505,2.0255804320032635,-1.3125404205088727,2
539,31.4,76.2,4.6,20.9,26.2,11.3,1.49,6.8,296,0.4513542249245286,-0.7806855515948873,2
540,31.7,78.9,18.4,33.4,37.2,12.4,1.3,6.3,500,1.9518563653091356,0.074659776019107,2
547,27.1,88.3,20.9,25.4,35.1,4.5,1.75,6.1,506,1.545387912278252,0.04012885480426157,2
552,29.1,52.3,15.2,32.4,25.4,8.8,1.47,6.4,663,0.8654089221721744,0.29113753952274896,2
556,39.2,47.2,7.8,13.0,31.6,12.5,1.85,8.8,371,0.8627087711004751,-1.118875851279668,2
560,28.9,69.2,9.7,20.5,29.3,6.5,1.29,5.0,552,0.5952206063576779,-0.5708103677663051,2
561,27.0,86.7,4.7,20.1,28.6,8.9,1.74,9.6,653,0.98017003519498,-1.1538697249854588,2
569,29.0,73.7,13.5,19.5,17.1,10.8,1.55,10.2,499,0.010683225366402043,-0.152844186539424,2
572,27.9,89.6,11.5,8.6,21.7,15.8,1.27,5.2,618,1.0700152063280604,-1.3245197189591973,2
574,26.5,60.2,10.0,17.4,25.4,5.2,1.51,6.6,432,-0.2817120226563194,-0.2902148570046562,2
577,25.0,87.2,4.0,6.4,32.9,9.4,1.57,5.9,662,1.0527461206395023,-1.9143684235419136,2
578,31.0,75.0,8.9,17.1,30.1,5.3,1.72,3.7,531,1.2236055581869734,-1.0115532441537987,2
585,27.5,69.6,23.3,31.1,37.9,9.4,1.57,7.5,505,1.5138596073410808,0.495605894046139,2
587,32.1,89.0,1.0,18.5,32.4,9.8,1.95,6.8,545,1.7759915511968198,-1.7449977529562464,2
588,29.4,72.5,12.0,15.1,26.6,9.9,1.47,8.5,487,0.36460747770675356,-0.6142420875028044,2
589,31.8,85.7,12.3,13.9,20.6,15.5,1.21,5.1,372,0.7430620834718022,-0.7949404588157195,2
593,29.3,75.2,14.7,27.1,27.9,11.5,1.56,5.3,428,1.2323550604883535,-0.12681039501502295,2
597,32.1,80.5,0.6,13.3,25.9,20.0,1.59,9.0,403,0.9883984531335195,-1.7263768021471717,2
603,37.7,78.2,9.2,18.9,35.2,9.7,1.49,5.3,318,1.450999587916787,-0.9937263676098895,2
606,32.2,79.4,4.0,11.0,32.9,10.9,1.25,9.5,651,0.811242562454746,-1.6369051230248646,2
612,31.7,67.7,7.0,11.0,26.8,7.0,1.18,10.4,530,-0.37184724885507175,-0.8988062170994031,2
613,31.7,61.4,7.9,20.8,27.7,12.6,1.68,7.5,574,1.0764032025668024,-0.8719534983816434,2
618,28.3,74.9,2.1,10.2,26.3,8.3,1.59,5.1,342,0.12729048520490913,-1.338206823042833,2
620,26.9,79.7,17.3,27.3,27.2,0.0,1.45,7.5,575,0.34509428128040737,0.3635677830834848,2
626,26.3,74.2,0.1,10.9,32.6,10.4,1.38,7.7,511,0.2649877699337631,-1.5911846285987825,2
628,25.8,87.9,7.3,19.7,30.0,16.8,1.38,5.5,326,1.020822665554658,-0.9299887915172199,2
631,19.4,54.5,15.7,33.5,19.9,11.7,1.79,5.3,362,0.10116001001821523,0.8230401754456778,2
636,30.2,91.2,6.4,13.6,25.8,10.8,1.54,7.3,685,1.2766637064973687,-1.5094822364227578,2
637,32.3,69.5,0.4,10.8,32.6,8.2,1.35,5.8,643,0.8488813454206678,-1.829244267215646,2
638,42.1,59.8,6.5,22.9,24.8,9.0,1.54,5.9,383,0.9713581650124202,-0.752273757188415,2
644,28.2,63.5,0.7,13.0,27.3,9.4,1.65,7.6,531,0.22383822774055054,-1.3850778442818943,2
646,24.4,79.0,7.5,10.3,28.1,4.6,1.49,5.7,473,0.0041657240911879955,-0.9737859480218652,2
648,29.7,61.4,18.3,31.4,30.6,17.0,1.42,5.2,396,1.4681344005393901,0.245061238199147,2
649,28.7,80.8,16.6,27.3,34.8,15.0,1.75,5.3,446,2.1378979302841707,-0.37402691556496465,2
651,28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546,0.9175911995093835,-0.29040852397963685,2
654,37.8,64.8,0.2,23.6,17.8,6.6,1.71,5.2,643,0.9824047943941483,-1.1846075160170224,2
660,28.5,59.7,7.7,15.5,25.6,21.4,1.46,5.3,423,0.953154132073305,-1.0676300136803196,2
665,29.7,46.7,0.4,12.9,33.2,4.5,1.63,5.2,541,0.19342463173569305,-1.3449541082703198,2
667,32.3,91.2,1.7,15.7,33.5,7.2,2.33,7.2,535,1.958413085519556,-1.8869533212212453,2
671,30.4,48.7,0.1,6.6,24.2,9.1,1.63,6.1,536,-0.0962456165408977,-1.5816472614686632,2
685,41.7,64.8,2.3,11.2,22.4,7.6,1.22,6.6,452,0.24215046814759902,-1.3886751811295528,2
688,27.2,90.5,13.9,22.7,26.6,12.8,1.29,7.6,616,1.180492679717194,-0.5102740662888864,2
706,36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412,1.0858596029236018,-1.5877049497964246,2
708,28.0,76.0,14.1,25.0,28.4,4.2,2.3,4.6,740,2.068953952870254,-0.6238919785752225,2
713,31.4,51.5,6.0,15.4,22.0,11.4,1.29,6.8,370,-0.3682750276334254,-0.6238012267873553,2
715,36.3,69.3,7.1,15.6,22.7,1.6,1.44,6.4,542,0.20800331499218105,-0.8268653243464347,2
716,29.6,56.4,17.2,35.2,20.7,4.5,1.7,6.3,649,0.7621448017971185,0.6390814136450186,2
718,29.5,53.5,12.2,22.2,26.8,10.0,1.49,8.0,438,0.15437182369208763,-0.09687466267062678,2
720,27.4,83.7,11.4,18.5,18.3,8.4,1.74,7.1,425,0.3205178743547338,-0.4138014539252945,2
728,29.6,46.6,5.1,16.2,27.0,7.0,1.93,7.6,364,-0.1178065866920389,-0.6848957694605161,2
729,30.9,85.8,13.2,20.0,27.7,13.3,1.58,15.5,300,0.07367911477238231,-0.20797589167078162,2
733,27.3,65.1,15.1,24.5,29.0,12.8,1.54,6.9,485,0.9194381897544581,-0.12373029945755645,2
738,32.3,68.8,4.3,6.5,28.1,9.4,1.5,5.1,438,0.4818297041836446,-1.5591228107968271,2
739,29.8,75.7,4.7,13.0,21.9,10.1,1.48,5.5,351,0.12724929166403198,-1.0400345986082138,2
745,33.8,72.1,0.6,14.2,32.5,17.5,1.59,14.5,646,0.9709319366550916,-1.7882492665191145,2
753,30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,0.8902684396685259,-1.4652642089090042,2
758,32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,-0.5649596282455511,-1.0423976522426874,2
760,29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670,0.3106349459812724,-1.724194462136733,2
763,34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643,2.04275909307452,-0.5706000602187894,2
766,27.7,73.5,8.4,16.1,32.7,9.3,1.48,5.2,638,1.1766629763966783,-1.147161834166586,2
768,32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588,2.0084995077168917,-0.18517107688943527,2
769,29.0,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475,0.6981764339752209,-1.0313304450552685,2
775,37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,0.8049407539717333,-0.9295436529236443,2
778,29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,-0.5675647530930422,-0.6190445245604989,2
781,38.0,78.8,1.3,9.0,23.8,0.8,2.54,5.3,755,1.871592804466304,-2.208544667296318,2
782,31.2,64.0,15.7,25.3,28.0,13.2,1.59,7.6,485,1.1167974865796078,-0.12878922479848134,2
797,33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,1.507212483438547,-1.5758983396740658,2
799,34.9,76.2,7.3,17.0,24.4,2.9,1.59,10.2,660,0.42409278259061567,-0.9064187703143525,2
803,22.8,76.0,12.3,22.0,27.1,12.2,1.54,12.1,577,0.2194495765584546,-0.24318113162082913,2
806,26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,1.020820249640641,-0.27748629849220313,2
807,30.7,81.9,0.5,11.4,26.4,20.0,1.71,5.2,650,1.960123738405041,-2.2508485740459476,2
811,29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,0.20424101224613006,-0.5721876823428974,2
812,33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,1.0423285139573102,-0.1776332447037639,2
817,32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,0.32243161184223557,-0.0036618196326179326,2
819,29.2,54.0,2.5,8.7,27.7,10.5,1.4,5.7,327,-0.31836949483381916,-1.1932709722956714,2
823,27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406,0.6296789083142156,-0.30733657538918013,2
826,31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,0.9531985970260355,-1.3482103939668904,2
830,37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,0.5815810277047353,0.32053181800849817,2
833,35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,1.0747626756266737,-1.8298930403601077,2
834,28.2,75.4,1.2,13.0,35.9,2.6,1.42,5.5,539,0.43636058516900933,-1.4542532950695863,2
844,27.5,65.9,19.3,31.5,24.6,7.2,1.74,5.4,609,1.2049276307606362,0.4075667007047791,2
845,28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,0.686144171817437,-1.0634377902808987,2
850,32.8,51.2,23.8,29.2,35.6,7.4,1.48,8.9,586,1.1184585990306692,0.5816724775906148,2
853,29.4,73.1,11.7,28.0,24.5,13.2,1.51,8.0,459,0.8284422811201481,-0.15186801410448247,2
854,38.8,64.6,21.5,31.9,21.2,9.0,1.48,5.8,545,1.4567491578993554,0.45418663633933726,2
855,30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,0.8465538392416345,-0.025732725996354042,2
857,31.3,49.2,7.2,14.9,29.3,11.9,1.37,6.7,340,0.0019386282156589082,-0.7093334989747138,2
867,19.8,75.8,1.5,6.7,28.9,10.9,0.94,6.7,636,-0.3743572183809946,-1.506529840347495,2
868,29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,0.9903639167413061,0.26326624796401765,2
876,21.0,94.7,7.6,16.7,35.6,9.9,1.7,5.2,388,1.060014814649352,-1.0671577594610333,2
879,36.4,58.0,18.3,23.6,30.5,13.7,1.49,5.1,363,1.4160266746513526,-0.11143358596498004,2
881,34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,1.1385453428119225,-0.945530724279891,2
882,37.8,74.6,19.6,29.0,22.2,12.7,1.4,5.2,417,1.520650626756933,0.16438548596078265,2
890,26.7,72.4,4.2,16.3,18.9,11.7,1.45,12.0,527,-0.49493012432566125,-0.7609250371299264,2
895,32.4,56.0,3.3,15.6,28.8,6.5,1.49,7.6,506,0.10638173001250564,-1.0238593301109886,2
896,33.3,64.4,17.0,33.1,25.1,10.6,1.39,5.9,511,1.1865473281773307,0.32791463805899046,2
905,28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,0.7649596057272443,-1.7267924263980847,2
