,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
262,28.0,76.6,24.8,35.9,28.1,13.4,1.53,7.4,440,1.4655005404874444,0.8661848528158954,0
269,29.8,62.8,22.2,32.8,36.9,1.1,1.55,5.0,437,1.0417706012486188,0.7741894967338716,0
305,39.0,87.2,32.8,43.8,29.9,9.0,1.03,7.6,482,2.0358333726360254,1.4903339044978663,0
306,33.5,43.8,46.5,61.9,22.9,5.2,1.71,10.8,523,1.2990232484451432,3.7370066050549178,0
308,27.4,64.6,21.8,37.7,22.3,5.6,1.45,6.4,465,0.4491825550728995,1.2155551840527399,0
310,29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295,0.6274805254234719,2.0567725197351248,0
322,34.4,72.7,26.3,39.6,29.3,14.9,1.51,9.0,439,1.8535735823863497,0.9745750896821133,0
328,28.9,56.2,30.9,40.8,23.7,9.1,1.63,6.4,572,1.3183563082429888,1.6116671363838337,0
340,30.0,87.5,33.8,43.1,28.7,12.2,1.63,6.3,561,2.5469023793268026,1.355299607281265,0
352,23.9,56.6,43.9,53.1,16.5,7.1,1.13,10.8,520,-0.033318192864315144,3.601997565193364,0
356,29.7,75.5,27.5,33.0,23.8,8.2,1.32,7.3,554,1.0090921621756883,1.049782148331075,0
357,28.5,66.5,42.6,52.4,23.2,9.6,1.63,7.9,463,1.5927081856882273,2.8675352956001197,0
362,41.3,82.5,51.7,59.3,29.5,8.0,1.61,5.3,479,3.5146345841484723,3.0144304905795756,0
366,38.3,86.8,38.0,50.8,22.5,7.1,1.41,5.4,311,2.0216980312648545,2.315575215633688,0
367,24.2,58.2,35.6,39.3,16.7,5.0,0.92,10.6,360,-1.0951945720060396,2.8099320165098565,0
371,27.8,94.0,44.7,59.3,29.8,12.5,1.46,5.7,687,3.341136665723737,2.5293220051931598,0
372,22.0,69.7,32.0,34.7,28.9,3.8,1.21,10.6,239,-0.6420399716857749,2.180036477580452,0
376,31.2,75.2,56.6,62.7,23.7,15.6,1.4,5.8,480,2.9066676235199975,3.75410340998216,0
379,27.1,50.4,45.6,51.1,14.3,6.4,1.1,10.3,371,-0.40405773801847233,3.820669375594303,0
392,27.4,67.5,32.7,40.7,21.2,4.6,1.57,6.8,458,0.7111772481634749,1.9910521563338945,0
402,32.6,58.9,30.8,38.8,30.9,17.5,1.85,4.9,448,2.6040198895279656,1.0125355550387887,0
405,25.8,52.3,35.6,56.7,28.9,6.9,1.2,5.4,535,1.2124785775120344,2.777074450781994,0
409,34.1,53.4,31.9,44.3,28.7,16.6,1.54,7.5,622,2.3288563855059055,1.3901749568535744,0
411,31.7,58.9,36.2,39.9,20.5,5.7,0.94,14.0,565,-0.3080285452499139,2.451688583160112,0
412,31.5,51.8,30.4,41.3,28.9,10.9,1.34,5.6,565,1.5599668786745091,1.4880856826174107,0
417,24.9,83.1,24.5,34.6,18.7,9.8,1.58,7.5,529,0.8899858723411709,1.001202669541668,0
427,32.7,63.2,34.4,39.6,28.8,11.0,1.54,7.2,296,1.3574094227338758,1.8042388505552325,0
434,35.7,80.2,35.0,45.9,32.0,9.3,1.59,5.5,531,2.78689747400201,1.5034039081867874,0
438,20.3,64.8,37.3,42.7,21.4,3.2,1.03,10.0,335,-0.8738360499088438,3.0200324862126386,0
440,24.7,79.4,36.3,47.9,21.0,9.9,1.67,10.3,549,1.2546289755149307,2.293522463782858,0
442,24.9,76.0,32.1,41.6,16.2,17.7,1.49,6.0,612,1.7272521453479044,1.5054600667539175,0
456,38.2,69.1,37.4,49.4,21.7,10.0,1.82,5.1,540,2.690651811562082,1.9279707829366912,0
459,40.4,101.8,40.1,55.1,29.8,2.7,2.18,4.1,446,3.7991537528151094,1.9584420577564468,0
463,31.8,49.6,35.1,41.7,13.8,0.6,1.17,10.1,428,-0.7540760691159645,2.7855224562525525,0
492,32.6,64.2,48.1,51.6,30.2,15.1,1.54,5.7,355,2.5355115054383983,2.8337324843725784,0
495,23.2,72.9,29.3,39.3,20.6,7.2,1.36,5.4,299,0.24177542299371696,1.9187642178903472,0
503,27.4,79.5,27.5,31.7,31.0,11.2,1.35,5.3,367,1.3379556669727104,0.9072492160295312,0
508,30.8,66.2,25.8,28.9,18.1,6.8,1.0,5.2,603,0.42661664669074906,0.9708428188181907,0
510,25.2,85.8,47.2,55.6,25.4,11.5,1.35,7.8,337,1.6418089308341077,3.2939583442152016,0
518,32.5,75.0,55.6,61.0,29.6,9.7,1.7,5.8,455,3.0409185775116345,3.582263878734544,0
522,23.4,67.7,55.9,57.8,20.9,6.9,0.93,11.2,364,0.11797944974571964,4.578129288625401,0
548,23.2,51.7,49.0,56.7,17.7,21.3,1.59,7.4,621,2.078753348449336,3.284351074093323,0
551,26.4,53.4,23.2,33.9,17.2,9.9,1.29,7.5,392,-0.2682659897982172,1.4210786436622036,0
555,29.0,70.1,28.8,40.1,23.1,0.8,1.54,7.0,531,0.7014686944693432,1.679509436268122,0
558,36.2,62.4,34.7,53.1,22.8,7.8,1.27,6.7,407,1.3822569179020163,2.4676325720360404,0
564,25.3,64.5,30.9,47.8,27.8,11.3,1.63,5.3,389,1.5140906261353553,1.9345469334020797,0
567,33.6,67.3,25.8,34.1,29.3,16.5,1.55,3.8,425,2.2704982096862967,0.5574551348091569,0
586,26.2,60.0,41.2,58.0,26.4,22.2,1.54,11.0,609,2.310593381667633,2.6718793856108114,0
595,32.4,62.2,39.6,52.6,28.7,15.8,1.33,6.1,463,2.2985744755173685,2.3695639596915496,0
596,34.6,69.0,49.0,62.9,26.9,12.1,2.2,6.0,721,4.020720966657683,2.8098318877823067,0
600,27.2,70.5,37.6,41.9,18.9,13.9,1.68,8.2,579,1.6055036300043095,1.9500240109818059,0
611,35.5,73.2,45.6,49.2,31.7,11.6,1.44,5.6,444,2.7164038653362472,2.4247118903676443,0
616,27.9,59.3,45.9,56.0,27.0,6.7,1.4,6.7,633,1.7983074743373892,3.147446863085928,0
624,24.3,92.5,25.8,32.4,30.8,13.7,1.69,6.0,268,1.598785566445658,0.7476645589841892,0
635,35.9,69.4,25.0,38.3,25.9,12.0,1.72,5.6,549,2.2780198335521584,0.682658422537165,0
641,28.1,89.9,31.9,39.6,21.3,15.8,1.72,5.6,697,2.703447028786999,0.9594544219726661,0
652,28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384,-0.6171284666357544,4.5783145965741845,0
653,27.9,87.6,22.8,38.3,27.4,4.9,1.42,6.3,443,1.09509043088679,1.0080434169725345,0
655,32.2,83.0,40.7,55.0,18.8,3.3,1.76,3.9,669,2.5222418685049446,2.4716146853253935,0
664,27.5,81.3,36.0,45.5,21.3,12.7,1.66,7.7,395,1.578678106108324,2.0759845939570445,0
670,27.4,63.2,24.9,35.3,30.7,8.8,1.5,5.6,631,1.5259810897994857,0.8101071663269217,0
674,30.8,85.8,27.0,29.1,18.5,11.0,1.54,8.7,466,0.997470264292401,0.8302621231905978,0
682,38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,4.087829014190725,1.8612526770941087,0
684,30.2,62.1,40.2,47.5,20.3,14.7,1.76,5.1,574,2.338830758473263,2.158501949494583,0
698,29.3,75.2,43.5,48.7,22.7,7.7,1.61,11.8,370,0.9410173718441072,2.9766913274960016,0
700,25.9,78.4,27.5,33.5,26.0,4.3,1.03,11.2,360,-0.44016346712767807,1.664116619095657,0
703,25.9,87.6,28.6,47.1,23.1,6.4,1.46,5.6,490,1.390959621573545,1.7234489362604817,0
705,25.4,81.0,22.9,36.8,38.3,9.5,1.59,7.6,543,1.842186163034737,0.5979122169037688,0
710,26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,0.10237985559628827,1.0963500298088802,0
721,35.7,91.0,49.9,50.3,19.0,15.4,1.94,4.2,539,3.67745633034323,2.374731495189257,0
731,34.0,88.6,22.3,35.3,20.3,10.0,1.53,5.7,333,1.3747823450683538,0.7420421050782681,0
748,34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,2.1349359433361426,1.4082008557075254,0
749,25.1,78.5,39.9,54.2,37.5,19.8,2.2,3.4,463,4.058192028204791,1.8122876404662274,0
751,26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,2.2264001047590254,1.363471604820389,0
762,37.9,96.9,43.3,51.1,31.9,10.6,1.23,7.2,293,2.5754570692126864,2.393646882992608,0
764,26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,1.0409205900851315,1.5017760543845045,0
771,26.4,47.9,40.7,57.5,32.1,7.0,1.79,6.1,562,1.9862220088742077,2.876867037276151,0
788,24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,-0.20024269164648878,1.5001071479396788,0
793,23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,1.6465263361266316,3.8738320535835866,0
796,34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,3.9049707456671445,2.5441532882634847,0
818,35.2,86.4,47.2,61.0,21.7,13.8,2.24,3.7,514,4.064608092938885,2.6316530833187204,0
824,32.6,79.6,42.8,51.4,14.1,13.3,1.55,7.5,633,2.2198647598603305,2.496070999137267,0
852,37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,1.7506384777563997,2.8028556817163293,0
856,23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,2.0705257252505316,0.700128736646247,0
861,26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,1.2624158806579537,0.9662489568242075,0
866,40.0,84.4,47.0,59.3,22.4,3.1,1.51,6.0,453,2.4783367889581935,3.1336300949540803,0
870,25.5,63.0,29.1,38.7,28.8,4.7,1.32,5.9,527,0.7634876896478249,1.5995519916663132,0
871,38.2,54.8,43.9,53.5,21.1,9.0,1.47,5.0,485,2.083023241150284,2.834338831861614,0
877,34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,2.812081645079867,1.8209102618570028,0
880,33.5,44.8,36.7,44.4,21.0,9.7,1.23,10.1,547,0.6217875765796972,2.419075983672118,0
889,31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,2.3098658626298154,3.956900372267791,0
897,27.5,55.4,32.5,47.0,22.1,12.7,1.66,5.2,298,1.1606203300601525,2.190695236281387,0
898,34.1,67.9,40.1,47.1,34.6,1.0,1.72,9.5,462,1.6545293971867296,2.3931379981569254,0
899,39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,3.8322604163339773,1.6358347611231292,0
932,31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,1.4702731881394755,1.5661983047093964,0
940,31.2,76.6,23.0,36.0,23.4,12.5,1.39,6.2,384,1.2286683100943183,0.869046976011704,0
943,26.8,58.5,39.0,46.5,27.4,8.6,1.59,5.5,466,1.4998831647126407,2.3988335412535697,0
959,22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,1.4045997376665267,2.191836709611817,0
969,22.7,73.0,33.6,38.6,30.8,14.2,1.72,10.7,576,1.5693652342240534,1.4959699966323126,0
988,30.3,88.4,34.6,49.5,25.8,22.5,1.48,3.4,583,3.5408967289768842,1.3215365628100026,0
989,28.3,59.6,26.3,36.6,17.7,9.4,1.45,6.0,278,0.16861476476473394,1.6351634782057367,0
992,31.2,84.0,28.6,39.4,24.6,12.2,1.3,6.4,438,1.5914766193034755,1.227821802875852,0
1003,31.9,66.3,38.8,40.0,30.6,9.3,1.55,6.2,381,1.724581514459626,1.9503245657232093,0
1015,31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386,0.6532523155106559,1.7666053913100426,0
1036,24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493,1.4868445691441095,1.1072560607595943,0
1039,30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434,1.5072187098320757,2.8113640950947567,0
1042,33.4,52.7,53.5,63.4,26.5,10.0,1.32,12.4,329,1.1759251675594316,4.3066740981532945,0
1047,30.1,91.0,32.1,38.5,23.7,10.6,1.44,6.0,363,1.579273099343075,1.4488222313024104,0
1081,23.2,88.9,55.5,60.9,31.4,13.1,1.19,5.5,351,2.3815938937297885,3.807808935522633,0
1093,26.5,79.2,51.0,58.8,22.3,12.0,1.54,5.2,344,2.1135203828476183,3.5701985496994695,0
1099,29.4,56.0,24.3,41.9,30.5,5.3,1.64,12.5,375,0.22951139229955086,1.6699444403593953,0
1104,25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582,1.2522182301865163,0.6690615476569904,0
1119,25.7,67.7,43.0,52.4,22.5,7.2,1.35,6.0,415,1.0949080790057655,3.114737144272318,0
1122,33.2,90.6,42.9,57.2,22.4,13.0,2.44,7.5,497,3.5688211881152934,2.331613308391004,0
1125,33.1,61.0,27.7,39.2,25.8,10.2,1.84,4.8,448,1.8818166858482221,1.1387048112227613,0
1141,33.4,59.9,33.0,41.0,25.4,10.8,1.64,7.0,406,1.5111352854658815,1.7079743686641753,0
1144,40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398,1.9112021981453917,1.891615990304487,0
1151,29.9,78.6,25.1,30.1,26.5,7.2,1.49,7.3,323,0.7234806659499448,0.9322430213257434,0
1153,32.6,71.9,48.0,60.0,30.8,6.8,2.0,5.0,388,2.9250257175290266,3.1361386982419317,0
1156,29.9,54.2,24.6,38.5,30.9,14.1,1.67,7.0,359,1.395469607218189,1.087217837909676,0
1163,35.3,65.3,25.6,36.8,19.2,6.0,1.57,5.5,576,1.3242726689362676,1.0437393281583456,0
1172,31.3,84.7,35.5,42.0,17.9,11.1,1.23,5.6,509,1.5694128298512213,1.8179490604662714,0
1187,35.7,82.0,40.5,57.9,25.3,13.6,2.14,7.7,614,3.6309228049232725,2.1313116006198367,0
1192,31.3,75.0,37.8,47.1,32.6,11.0,1.87,5.6,451,2.736319905355977,1.8259521776771073,0
1195,33.8,71.4,35.9,59.1,36.1,15.0,1.74,3.6,619,3.942911375888075,1.7755323396990477,0
1204,31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571,2.354482382397733,2.3232380224327183,0
1205,25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459,1.1194151706941213,2.592589752723132,0
1210,32.8,63.6,33.1,54.9,33.0,19.6,1.48,4.7,655,3.448064087854115,1.5427407364721355,0
1211,30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,2.4482660844722863,1.8159450281832765,0
1242,36.0,89.8,33.0,47.9,26.0,-0.1,1.74,4.3,490,2.263514475006162,1.7314723233724836,0
1244,34.4,94.5,25.5,48.8,26.3,9.9,1.47,9.3,457,1.9505464660662262,1.3161674143856763,0
1251,35.3,70.3,27.3,31.9,27.4,11.1,1.75,9.3,635,1.9550054157524834,0.5781234854978787,0
1258,28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604,2.431970335068352,2.842438007580437,0
1265,20.6,88.6,47.9,57.9,28.9,12.3,1.94,5.4,412,2.6996015312194226,3.0718635962011898,0
1276,34.7,87.7,44.8,46.0,35.8,11.9,2.11,4.5,473,3.9164263426870725,1.7447327976073135,0
1286,23.3,71.1,23.0,39.0,29.5,11.6,1.21,15.6,404,-0.2602470031651849,1.5275906740648262,0
1289,31.5,67.6,33.4,46.2,22.8,0.7,2.07,5.4,446,1.5298624918555674,2.0450353503578658,0
1299,26.7,77.3,27.1,33.3,24.1,2.5,1.12,10.3,501,-0.1611154793609808,1.4962116853230882,0
1300,23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441,1.5618336975360292,2.177602937324424,0
1301,26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286,1.5647565354920123,3.669499953342101,0
1307,33.8,68.4,24.4,30.4,25.6,7.7,1.26,5.4,599,1.305148329661284,0.5991737572715332,0
1316,23.3,70.8,23.7,36.1,23.5,8.4,1.43,7.6,450,0.3826357060830275,1.2634300144057362,0
1321,22.6,72.0,40.4,46.2,14.6,4.5,1.04,14.8,270,-1.3533742209737345,3.5598809218856005,0
1338,27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338,-0.06943153905248878,3.369923064204836,0
1344,27.1,56.4,52.6,60.5,26.8,7.7,1.33,11.9,428,0.9032722354427378,4.191945172247265,0
1347,41.0,60.0,46.3,58.9,38.9,19.7,1.45,7.2,418,3.7079483619127527,2.5483139576891314,0
1379,33.8,68.0,41.8,47.8,34.5,9.3,1.37,5.9,652,2.7078219682562463,2.0488324921227883,0
1397,21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660,1.9408059658012584,3.478024767051609,0
1449,31.2,83.8,43.8,61.7,20.5,9.2,1.65,7.1,621,2.60819922524476,2.9430226919106737,0
1455,28.3,87.1,37.0,48.5,22.9,10.0,1.48,5.4,550,2.119742513122152,2.03228156322175,0
1464,33.6,51.9,55.3,62.7,36.2,1.0,2.41,5.6,403,3.010196196669989,3.7878581130783218,0
1470,30.9,70.6,23.5,40.2,24.4,12.7,1.34,10.7,393,0.721855551016137,1.2810026019872116,0
1488,29.1,79.4,41.6,56.1,31.5,16.8,2.49,6.2,542,4.032191529078534,2.011443431727444,0
1489,35.8,71.8,42.3,53.4,29.8,13.3,2.32,4.0,485,3.889385612463158,2.0185136217332618,0
1497,26.6,92.9,31.8,51.9,35.0,10.2,1.42,6.1,526,2.514983964274618,1.6732441652971555,0
1498,30.8,63.9,34.4,43.3,14.0,13.9,1.52,5.1,350,1.1593455072042695,2.089574405555047,0
1501,22.3,51.0,30.9,40.0,17.5,4.5,1.78,6.2,294,-0.22339456350859158,2.327091885071892,0
1509,30.3,67.3,31.6,33.1,23.5,13.2,1.23,5.3,670,1.6695636608608586,1.0411757293077182,0
1522,27.8,85.9,24.2,35.3,28.1,8.0,1.31,8.5,497,1.017049178610449,0.9279657898636879,0
1523,25.6,60.3,21.4,34.0,30.4,3.7,1.37,7.8,315,-0.12484976387485282,1.2612192271820653,0
1524,33.0,90.1,35.3,49.5,31.2,7.4,1.6,6.2,358,2.308555499269484,1.9364284935658571,0
1527,28.2,73.2,27.8,39.6,23.7,1.3,1.46,5.7,563,0.880493100174888,1.5058068227091834,0
1528,34.9,51.8,31.4,40.1,19.6,12.0,1.46,6.0,634,1.605780920927383,1.4637342770641009,0
1531,25.4,43.2,48.2,55.1,21.1,1.1,0.95,11.0,537,-0.4365933791206021,4.162955249755265,0
1545,31.1,70.9,35.2,44.7,26.9,5.8,1.45,7.2,455,1.3292572049320117,2.0778343386904763,0
1553,19.6,65.5,33.8,39.8,30.4,11.9,1.47,6.1,629,1.4675849348283363,1.6463054584771135,0
1585,32.0,60.1,34.2,50.5,34.5,8.0,1.49,7.8,605,2.07982712390641,1.9619165480307388,0
1588,25.5,74.9,42.2,46.7,19.0,3.0,0.94,11.9,421,-0.42810342991578615,3.29553256343093,0
1594,28.9,62.5,28.6,39.6,16.2,8.7,0.76,11.2,586,-0.37206442452969474,1.9614200033507214,0
1618,23.1,70.5,34.7,39.4,21.6,4.5,0.85,10.8,283,-0.9852910187464065,2.6998932358031826,0
1622,36.4,61.5,35.3,30.1,28.7,6.4,1.1,5.7,312,0.8039304963212638,1.5871148970271656,0
1628,26.0,49.6,38.8,43.0,15.1,6.2,1.15,10.2,469,-0.5110423621209749,2.9773010918909635,0
1637,24.0,86.1,44.5,52.2,29.5,15.4,1.49,5.5,689,3.0295767809222602,2.2960682249457878,0
1639,22.4,65.2,34.2,38.7,28.2,5.9,1.02,10.7,532,-0.05778452460526124,2.19569909417522,0
1652,32.6,61.4,37.3,53.1,27.8,11.8,1.65,5.1,529,2.5045142434516667,2.1861713313907583,0
1667,27.7,68.1,30.4,35.6,28.8,5.0,0.86,11.0,485,-0.13474165268002677,1.803866534379204,0
1676,32.4,62.5,28.9,38.3,31.0,7.0,1.64,5.1,688,2.161332638510723,0.9690078632360203,0
1677,28.4,79.6,21.5,37.8,21.6,11.1,1.68,5.6,655,1.851813298897447,0.561477706887085,0
1683,34.1,65.4,49.1,56.2,23.1,10.2,1.49,7.9,385,1.8620306511204554,3.3892809934186414,0
1689,24.6,90.1,45.9,52.9,19.0,10.9,1.79,6.7,550,2.246428895231849,2.8090475093601994,0
1690,29.6,76.8,33.8,40.2,13.1,3.6,1.16,12.6,326,-0.7407644556972707,2.5678234245540583,0
1708,28.2,49.3,40.9,48.4,21.3,8.8,1.64,11.6,617,0.8783974754958066,2.7947528124161245,0
1718,21.2,75.1,25.1,31.7,26.0,10.3,1.48,6.9,666,1.0852193643539854,0.7811021791503403,0
1720,31.7,51.8,30.9,45.9,21.7,7.4,1.08,6.9,460,0.4853573254856212,2.20616929420436,0
1721,28.4,62.8,24.6,35.1,23.5,12.3,1.53,5.4,543,1.3385773765190607,0.8862105581416571,0
1722,27.7,58.8,39.1,50.7,33.0,9.8,1.43,7.9,408,1.463440728415303,2.6046400108799177,0
1725,24.2,75.7,29.5,34.0,17.0,5.9,1.06,10.3,483,-0.48575364203137067,1.8302289702381567,0
1743,28.7,93.1,24.5,32.8,20.5,7.7,1.46,5.5,300,0.858295428781693,0.9790192470560429,0
1755,27.6,52.8,39.5,54.9,28.7,7.3,1.37,5.5,382,1.222586116256089,2.992691919446404,0
1756,31.1,59.2,31.2,46.1,32.8,10.5,1.48,6.5,450,1.761604068813008,1.7237653838002533,0
1759,36.4,77.4,39.3,62.4,25.9,10.8,2.37,4.8,774,4.377626615548478,1.9924923889024604,0
1761,33.3,59.8,53.4,57.2,34.9,14.6,1.81,15.8,629,2.5955145731229767,3.28993931926151,0
1762,32.6,67.2,45.4,61.4,27.4,5.2,1.43,7.2,470,1.909459997843855,3.3730628230500526,0
1766,25.7,78.9,47.3,61.1,32.0,8.7,1.23,7.4,530,2.1098098490045785,3.340902118865014,0
1780,30.4,77.7,27.8,37.1,19.9,8.1,1.98,10.4,693,1.5796903416011627,1.0277966235488614,0
1784,32.3,65.9,28.5,38.8,26.4,4.1,1.63,7.5,662,1.4727592675396257,1.2360714643662751,0
1796,32.5,89.5,40.5,56.8,31.3,18.7,1.86,8.1,630,3.909944579083938,1.9027833230805657,0
1810,27.3,103.2,38.7,45.3,29.0,11.5,1.37,11.8,477,1.7504337906282528,2.040705419597278,0
1813,26.2,46.4,34.2,40.9,26.1,7.2,1.13,12.5,358,-0.605890427514631,2.6017344405686798,0
1825,24.0,86.1,27.9,40.8,17.3,7.3,1.36,9.9,491,0.2949487775062279,1.7580969395056287,0
1838,31.6,61.9,46.9,46.9,17.9,4.0,1.46,5.4,339,0.8696546481314417,3.236009536022587,0
1842,19.2,66.2,16.4,44.9,18.8,7.1,2.25,4.4,799,1.6654908829759592,0.7254875473741964,0
1846,30.0,78.1,38.4,55.7,30.8,16.4,1.45,5.9,739,3.358287445382634,1.9190552848058315,0
1849,28.0,52.1,54.3,60.1,14.7,9.3,1.03,13.8,268,-0.4049282210906307,4.836761002015753,0
1852,27.3,71.6,30.3,35.3,27.8,6.6,1.03,11.2,237,-0.40260055191397487,1.96615090840579,0
1855,30.7,75.8,37.3,50.0,26.0,13.6,1.34,5.9,415,2.012231784013435,2.2022154058021055,0
1856,29.4,61.4,29.6,50.2,37.0,11.4,1.89,4.7,497,2.7244371368639966,1.4643384390485519,0
1859,25.6,51.5,35.5,40.7,32.2,-1.7,1.35,7.3,378,-0.006057246034805382,2.501987888298091,0
1861,31.1,68.6,32.4,43.0,22.2,14.1,2.06,3.9,417,2.429932886638609,1.4416253955941285,0
1864,26.8,63.4,52.9,63.6,26.9,9.0,1.39,5.6,324,1.7463691520306472,4.111053527362551,0
1875,36.5,89.2,40.9,61.0,25.0,1.8,1.85,3.5,687,3.410074760074034,2.4167089431183535,0
1883,39.1,59.5,47.6,57.2,30.6,16.8,1.89,3.8,450,3.8469802379263887,2.5698536699236953,0
1889,33.1,72.0,30.3,48.8,30.8,11.8,1.12,6.2,341,1.633993213148244,1.8340492792793939,0
1917,35.4,68.8,29.2,40.7,32.6,8.8,1.74,5.6,650,2.6931439271083195,0.8885434751101315,0
1919,32.2,79.5,52.1,54.7,20.3,9.3,1.67,8.5,448,2.0842555524436244,3.3925454607489787,0
1921,29.1,68.0,37.5,47.0,30.1,7.9,1.63,7.1,516,1.8534043906544841,2.13195834581709,0
1928,17.2,64.4,42.7,48.7,20.8,5.9,1.08,12.6,569,-0.44266564075424114,3.418736560005152,0
1946,42.9,94.8,37.2,58.6,25.6,12.3,1.95,6.7,490,3.8774509997678575,1.8496528909851464,0
1961,29.4,51.6,29.3,40.2,27.9,11.2,1.72,5.8,591,1.7554458904371855,1.3032170097194573,0
1964,28.6,59.7,26.2,52.2,32.7,7.1,2.04,4.0,769,2.905324042675831,1.2258740415019913,0
1980,21.0,94.3,37.7,55.3,33.5,13.6,1.52,4.1,722,3.2716986433941733,1.9003596068584279,0
