,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
132,25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517,-1.4950789411400698,0.18133543505543365,3
136,15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,-2.6219889552828097,-0.10658221047719518,3
138,21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,-1.00216656615057,1.8078680196498325,3
140,28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,-1.6252876058956953,-0.9059759923154046,3
141,31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,-2.3675684673153254,-0.5294733452700232,3
145,23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500,-1.6402960172732153,1.1767406980369903,3
148,14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238,-3.036822189420626,-0.04978980428666478,3
150,21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,-2.0686842392970095,-0.43462468926610864,3
153,31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572,-1.1968206920482394,0.013642943273473006,3
159,24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368,-2.036718506012074,0.08832397142922817,3
162,26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,-1.1502354244437978,0.522017057101595,3
164,28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,-1.101764786961128,0.06089329869595923,3
165,24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,-1.9092928410687575,0.2799704633373966,3
166,25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,-2.2411757727588166,-0.49495394457007,3
167,22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500,-2.479809395102419,-0.3140337589666099,3
169,25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,-2.353130881854223,-0.04432647284874077,3
172,26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547,-1.8248673661983876,-0.41048590645933314,3
175,25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,-3.106989912089183,-0.094983320378276,3
178,27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,-1.4520919064988476,-1.248901170257127,3
179,30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,-1.6973831271307322,-1.1148289281551989,3
180,23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371,-1.2902578342567517,0.9281102745397481,3
183,28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334,-2.445228093672496,0.5980790773677004,3
185,20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,-1.8804688524596214,0.39393227396538544,3
187,23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,-2.3951916355280907,0.32496317013269366,3
189,24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,-2.2627663418773256,-0.05340564489095666,3
191,23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,-2.5198490380345047,0.0800060542121251,3
194,29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225,-1.5895104831575115,-0.3924450277251085,3
196,26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412,-1.785400296174459,-0.21123688560901854,3
198,23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438,-2.370680651222376,-0.3862385145468629,3
200,26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,-1.3183380446843609,-0.4515693418038075,3
203,26.0,54.9,16.6,22.4,21.3,7.0,1.02,12.2,210,-1.8157168236661665,1.0074114453802592,3
204,28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379,-1.4584679517409571,-0.48834380051380283,3
205,23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,-2.22497080581957,-0.6474257570493706,3
206,25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,-2.2929699119525178,-0.7906069089613161,3
207,22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,-3.310372006441055,-0.20070150185761687,3
212,31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451,-2.5645295769345133,-0.574330375162512,3
213,21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207,-2.5444606066188395,-0.43193266538460806,3
216,27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253,-2.0954443241028122,1.293937664683382,3
218,29.7,74.4,0.6,6.0,22.4,3.5,0.74,11.6,583,-1.501396748421398,-1.1794767637216668,3
220,25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541,-1.7366742461023181,-0.6418420630056434,3
223,21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,-2.669059920679207,-0.5657482054392193,3
225,24.1,47.5,22.8,26.0,26.5,4.1,0.91,12.2,406,-1.5384751763781654,1.4406409341336623,3
227,25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514,-1.5983158674671933,-0.0889157004916747,3
228,24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,-1.7268582302309645,1.1086257935071897,3
233,28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271,-2.4646461053994098,-0.1364645775754958,3
236,26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,-2.5906078283296585,-0.45335245150260717,3
237,26.5,52.8,1.2,10.0,26.5,3.4,0.91,12.1,377,-2.144805899298464,-0.5659219948105055,3
238,20.3,66.8,18.9,21.1,25.5,5.0,0.96,11.3,416,-1.3919452321863601,0.8501436449090929,3
240,26.2,41.0,0.3,6.4,23.4,7.3,1.05,10.5,432,-1.9423342391192393,-0.864086530056494,3
241,24.6,46.5,5.9,13.0,14.2,6.7,0.96,10.5,547,-2.01227964092072,-0.1633812444224042,3
242,24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,-2.166404549141716,-0.4832193313209497,3
243,22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516,-1.3772279657805115,0.5315167162127263,3
244,23.8,57.9,21.9,27.3,21.9,4.3,1.02,11.1,336,-1.4587334257081814,1.441423298318843,3
246,29.0,51.7,8.4,13.0,16.5,5.0,1.01,10.1,226,-2.166098160749942,0.15272204798388025,3
247,27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,-1.4310947418848936,0.4750533119155927,3
248,24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355,-1.4368337672548537,0.7299554782573886,3
249,21.9,77.4,21.1,27.8,21.1,4.5,1.03,10.0,384,-0.9890260536563107,1.187993070998701,3
250,23.7,75.4,8.4,15.0,24.2,2.6,1.01,11.5,275,-1.8371602095206452,0.05249646391474063,3
251,26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,-2.3478669327203048,-0.5692543950152923,3
254,20.0,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407,-2.022223028046021,-0.9662336717614054,3
256,21.8,69.0,0.7,7.9,10.2,6.3,0.95,11.6,489,-2.426058273176104,-0.6284658051467268,3
257,20.5,58.3,1.8,6.7,14.6,4.8,0.78,16.0,260,-3.746923876359405,-0.05168750105486257,3
258,25.4,59.1,16.0,16.6,15.2,6.8,1.04,10.5,439,-1.5370380878279444,0.5098466733750643,3
264,24.1,65.6,0.2,7.1,24.7,6.1,1.1,13.2,370,-1.9783186329504294,-0.8668571292787374,3
266,23.5,62.5,1.8,7.3,25.2,3.4,1.16,11.7,501,-1.7083940339466597,-0.8667445962250436,3
267,22.1,50.4,4.0,11.5,14.3,9.7,0.95,13.6,466,-2.471638738233031,-0.1987584493728841,3
268,29.6,44.2,24.7,27.3,27.5,7.7,1.01,10.5,315,-0.8020506861308341,1.3757150759561725,3
270,26.6,54.5,3.9,10.3,24.2,5.5,1.09,10.3,580,-1.2190295738607708,-0.7798514002331464,3
273,24.7,79.4,5.9,9.0,19.3,0.7,0.91,10.6,219,-2.355447862461306,-0.19103101939347142,3
274,28.7,63.6,4.2,10.2,20.8,3.2,0.92,11.6,487,-1.7319353252966978,-0.5663229734986844,3
275,20.8,68.0,7.4,11.4,10.6,7.4,0.95,10.8,316,-2.47417053298937,0.07321440935215742,3
276,21.7,45.4,19.9,25.3,22.8,3.9,0.78,13.8,385,-2.3369320414394776,1.5281859211419702,3
277,19.4,70.6,8.2,14.2,21.1,0.4,0.99,10.2,262,-2.417413492550255,0.2718875161591379,3
278,26.0,68.3,7.8,13.9,11.7,2.7,0.99,12.3,307,-2.5046271249975747,0.23299138788785015,3
279,20.5,80.0,1.0,3.2,23.6,2.8,0.91,13.4,276,-2.671811700285783,-0.7347015005069948,3
280,24.3,44.2,9.5,12.5,18.8,-0.2,0.83,10.6,341,-2.8380703863970815,0.4487104563159385,3
284,23.1,43.1,4.1,7.9,22.7,8.0,1.03,10.1,499,-1.809779024257423,-0.6070991224584565,3
285,19.6,55.5,0.1,3.9,18.9,5.3,1.1,10.6,198,-2.9201455311271993,-0.5457277276476545,3
286,26.3,66.7,1.3,5.7,16.4,5.9,0.97,15.6,205,-2.9782175900545655,-0.44033458464395536,3
287,24.0,56.9,2.9,6.9,13.0,8.2,1.14,11.3,360,-2.291141948375089,-0.5208539743897634,3
288,24.3,48.2,16.8,25.9,19.4,3.9,0.97,14.8,544,-1.929242520628172,1.1417965136773045,3
289,25.3,77.0,4.6,11.2,20.1,6.4,1.03,11.3,282,-1.7406606702438674,-0.44026369258923465,3
292,22.6,46.7,19.2,26.8,26.5,6.7,0.82,13.7,354,-1.878455273717303,1.371531201650932,3
293,30.8,47.7,11.0,16.4,25.7,5.5,1.11,10.1,332,-1.2200529137031118,0.08518594052860048,3
294,22.5,68.9,3.9,8.4,12.8,4.8,1.08,10.5,447,-2.1297832002377137,-0.4778099127029435,3
296,27.3,67.7,2.4,9.2,24.6,7.6,1.13,11.1,249,-1.5360619044294868,-0.7453257240344485,3
297,26.3,47.2,3.0,5.5,24.7,0.7,1.08,10.7,368,-2.3033832574675146,-0.5637693138104408,3
304,23.5,67.6,0.2,4.3,24.5,6.4,1.19,14.6,412,-2.0120154566729713,-1.0191365521396931,3
307,21.8,53.6,1.9,13.1,20.8,9.0,1.43,5.0,309,-1.0548338894321554,-0.6728417495029353,3
313,28.2,50.1,8.9,16.9,17.6,0.8,1.05,10.4,291,-2.247952712193318,0.4119105110009551,3
314,25.6,49.2,1.5,5.8,10.9,3.8,1.04,15.7,293,-3.5285655050493743,-0.17553799909313764,3
317,25.6,66.5,8.5,14.5,12.9,3.7,0.94,13.2,354,-2.4651934939295543,0.26756601344918723,3
318,24.9,47.8,3.3,7.8,17.1,6.7,1.05,13.4,581,-2.164644538666093,-0.5781961853337223,3
319,24.8,58.3,13.8,19.1,14.5,9.5,1.0,12.2,437,-1.6550006957411891,0.5172002121529593,3
323,27.8,49.2,9.9,14.9,23.8,7.4,1.04,10.5,441,-1.2785202979331964,-0.08325126104738832,3
326,27.1,51.4,33.1,36.6,12.1,8.4,1.03,11.1,241,-1.3357362405193989,2.6487341060128267,3
329,26.6,38.3,9.7,14.7,20.3,5.2,1.07,11.4,375,-2.100845692985345,0.27031567347715574,3
330,24.4,48.1,14.8,19.8,24.5,4.3,0.87,12.0,381,-1.9458684056204467,0.764876571827989,3
331,27.4,44.7,12.7,22.1,22.0,8.7,1.18,5.8,363,-0.667553097816055,0.31184727981337745,3
336,29.6,53.4,2.6,9.9,22.2,4.6,1.09,13.7,297,-2.210168925619094,-0.4328468950625662,3
338,20.9,69.9,0.4,6.7,23.2,4.4,0.87,15.2,520,-2.4264167370581924,-0.7725581942352834,3
339,25.7,42.0,10.0,17.4,22.7,7.2,1.16,10.4,384,-1.5456316717061633,0.20449976613059345,3
341,23.7,73.8,3.1,4.2,11.1,4.1,0.97,14.5,447,-2.7565647086244627,-0.547134648778717,3
342,21.2,64.0,0.8,7.1,15.7,4.7,0.87,13.1,456,-2.739602416767446,-0.540047274233744,3
343,23.1,43.9,5.9,8.1,20.4,5.4,1.06,11.1,564,-1.995568817216043,-0.42175874591669343,3
344,21.7,53.2,10.9,15.2,25.4,6.7,1.02,16.2,301,-2.4703396129024973,0.4643504094052871,3
345,23.5,46.1,2.8,8.1,24.4,6.4,1.09,11.9,357,-2.2106891216647013,-0.4965324285677841,3
347,32.9,63.2,13.1,24.0,23.1,4.1,1.32,11.1,522,-0.31482996313783207,0.171784207064442,3
349,24.0,45.4,0.8,6.6,13.5,5.0,1.11,12.1,603,-2.379800485460801,-0.6931391172518355,3
351,33.6,46.6,4.1,9.1,21.0,5.8,0.92,13.8,204,-2.4299508941456933,-0.266019076994535,3
354,20.5,56.2,3.8,10.4,12.3,3.1,0.98,14.5,459,-3.12255156473648,-0.000268174104877977,3
355,26.8,60.5,1.3,9.1,16.4,4.6,0.94,11.5,359,-2.3334853995365306,-0.5205890130053952,3
358,20.9,50.7,0.7,7.2,11.5,3.2,0.82,12.2,298,-3.5942115840014055,-0.11014448600999985,3
359,26.4,58.4,10.6,15.2,26.4,6.8,1.0,10.0,350,-1.25125311429288,-0.020953993695946634,3
360,28.4,38.8,1.8,8.4,10.5,5.6,0.99,12.5,560,-2.531194524958057,-0.4652810965671158,3
361,24.1,67.6,2.9,8.9,10.8,4.4,0.96,12.4,480,-2.4500223094255515,-0.4230347547283404,3
363,25.9,44.8,1.7,7.4,24.4,6.4,0.97,10.4,574,-1.627369067297831,-0.9005488098194966,3
364,26.7,56.9,5.8,10.7,17.3,5.7,0.83,10.9,257,-2.4209079938029676,-0.07439200473724175,3
365,30.7,76.4,13.8,18.9,23.5,2.8,0.9,12.9,302,-1.427676348783858,0.40309777674201847,3
369,16.4,46.2,16.8,20.2,16.0,1.6,0.8,14.4,189,-3.7538867161987075,1.7079643478387645,3
370,31.1,75.3,1.5,4.9,21.1,2.0,1.14,10.5,337,-1.5631422779778235,-1.0351361364148735,3
374,24.1,70.9,5.0,9.7,17.4,2.2,0.97,13.7,366,-2.5357128250503815,-0.19583167998985584,3
377,24.1,43.5,0.0,5.1,13.8,5.2,0.91,11.8,399,-3.0111957723492813,-0.5170724324415327,3
381,27.7,76.3,12.7,17.5,24.9,7.8,1.02,11.5,536,-0.4995468146781976,-0.1721682572916942,3
383,25.0,77.9,2.1,8.6,12.3,-0.3,1.09,14.1,269,-2.9648858356682135,-0.23885450740854963,3
384,24.3,67.2,7.3,11.5,24.4,4.0,1.14,11.3,277,-1.8012557592376217,-0.19152385795903243,3
386,24.0,57.3,0.0,4.7,28.2,5.7,0.89,10.9,442,-1.863682715919027,-1.0517353416506063,3
387,22.3,74.3,6.5,10.9,20.7,7.6,0.92,13.0,210,-2.284601717625655,-0.10814307205586496,3
388,27.0,45.8,1.7,6.0,13.0,6.9,0.92,10.9,233,-2.886387862673305,-0.36131576825751194,3
389,23.5,66.6,13.7,20.0,20.2,5.9,0.77,11.3,347,-1.8374540318652146,0.6357457214901031,3
391,26.9,45.5,15.2,19.5,13.8,6.2,0.91,11.5,239,-2.4183676787244766,1.0274569650409124,3
393,32.3,63.1,3.0,12.2,18.1,12.3,1.36,10.4,314,-0.7893101329765219,-0.849783022613293,3
395,23.6,51.9,11.0,13.6,27.9,4.3,1.2,12.1,474,-1.4679318379483448,-0.010681309967676465,3
398,23.4,60.7,9.9,14.5,22.3,4.9,0.9,13.2,329,-2.2470411424677557,0.27577357242005246,3
400,21.5,54.4,24.5,28.6,17.8,5.5,0.91,10.9,289,-1.8853858229101736,1.8720725754089955,3
401,24.4,48.1,21.9,29.7,11.1,12.7,0.97,10.6,572,-1.0033914682050085,1.3225394068652052,3
406,29.1,65.7,1.2,5.7,25.5,5.5,0.95,11.3,576,-1.1946679675060652,-1.249333743067083,3
410,28.5,58.2,1.5,9.5,17.1,4.8,0.83,10.7,376,-2.1961981975074396,-0.5473204997120639,3
413,26.2,51.7,3.5,9.0,27.6,5.7,0.98,10.1,542,-1.3218369976946005,-0.8254458184140983,3
416,25.9,79.1,16.3,22.0,18.4,2.7,0.9,10.3,387,-1.337002545248896,0.6991181457865435,3
418,22.8,73.0,0.6,5.4,24.1,4.2,0.87,10.6,381,-2.0129222235543796,-0.915548260451022,3
422,28.2,39.4,6.3,11.6,26.2,7.1,0.92,15.2,289,-2.451190462583123,-0.011473980257646142,3
423,24.6,46.5,2.7,9.2,18.4,3.8,1.09,10.2,296,-2.511940618026583,-0.27893716352972775,3
426,27.7,51.1,16.1,20.2,26.0,6.0,0.99,10.6,562,-0.8160776935196897,0.36820919659432283,3
429,21.5,65.3,13.8,19.2,12.5,5.7,1.05,11.2,230,-2.339950420662673,0.87697212831099,3
430,24.3,62.7,6.6,15.4,22.5,10.9,0.92,10.4,437,-1.212957210033128,-0.3371618184458206,3
431,24.5,63.2,2.0,8.7,22.9,5.0,1.07,12.3,561,-1.6290975103193475,-0.8481061535146066,3
433,17.0,78.5,19.2,23.3,14.8,0.6,1.07,13.0,501,-2.034563649689758,1.2151247754964014,3
435,20.1,66.0,1.0,3.5,17.0,2.6,1.02,10.6,573,-2.2613167017422438,-0.9016881294446843,3
443,27.2,53.8,37.7,44.2,18.2,4.6,0.89,13.7,197,-1.5157235032336205,3.3884072116407644,3
444,27.6,44.8,9.8,10.1,19.2,4.9,1.01,10.8,407,-2.0126942763193143,-0.013607231723153012,3
451,25.1,61.9,10.8,17.0,13.3,1.1,0.87,10.7,401,-2.337806103844717,0.516605838242675,3
454,26.8,65.2,9.7,15.8,13.4,7.7,0.81,12.8,282,-2.2945517923062813,0.35060512875599037,3
458,25.2,62.9,4.1,12.3,27.6,8.4,1.03,10.9,276,-1.4787474326943248,-0.504790378434283,3
460,23.9,54.6,0.8,5.8,18.0,-0.6,0.92,13.2,363,-3.1968050789470435,-0.3676925809152689,3
462,27.4,52.2,14.5,18.2,12.9,2.5,1.13,11.1,560,-1.6789761172797262,0.5381050799274827,3
465,23.1,77.7,5.6,11.8,21.2,4.5,0.9,10.5,385,-1.7340465438534154,-0.3738249741144276,3
469,25.7,68.7,12.4,16.9,10.0,6.0,1.24,10.3,470,-1.4126272988233288,0.23445923736668275,3
470,29.9,45.5,6.8,14.3,19.4,9.4,0.98,11.5,536,-1.3406944503600322,-0.33194432756293113,3
473,24.8,78.7,17.4,21.7,24.2,3.4,0.74,12.6,580,-1.0922960309179541,0.5590084410154419,3
475,28.1,67.7,26.4,34.1,22.8,4.9,0.86,13.6,238,-1.318725343595758,1.9961704378162062,3
476,24.5,70.4,2.2,9.0,10.9,5.1,0.94,14.6,228,-3.1123163963037808,-0.15273433568305744,3
479,34.1,76.7,3.5,10.5,21.9,3.9,1.23,10.4,299,-0.9970313791251685,-0.8380527571188268,3
480,21.9,67.3,12.2,16.1,24.1,4.8,0.92,10.3,244,-1.8807580292264299,0.4048368753069566,3
482,32.8,74.0,10.1,15.5,26.7,5.7,0.85,11.2,199,-1.2066487494832765,-0.07112469735109286,3
486,24.0,64.7,6.5,10.9,18.4,1.9,1.0,10.6,455,-2.020782954976411,-0.2255126571578686,3
487,28.7,59.3,6.3,16.3,22.3,5.7,1.03,10.8,213,-1.7602560983002442,-0.005977098286759725,3
496,18.5,54.2,11.8,19.9,12.9,5.5,1.14,10.1,314,-2.374141231357176,0.8117975293731448,3
497,32.6,69.9,5.7,14.7,11.3,6.9,0.99,10.6,536,-1.1556583904687845,-0.48298147785598683,3
499,24.4,53.9,8.0,13.3,17.0,5.3,0.84,10.8,335,-2.3825794886444696,0.1775980613677365,3
500,21.9,74.0,14.4,19.4,17.5,4.3,1.07,10.1,483,-1.3245419172557706,0.4341413046030373,3
502,31.0,42.0,8.4,12.3,15.1,7.3,0.88,11.8,594,-1.7198128359304001,-0.18735706893724857,3
507,29.9,46.2,5.9,12.2,13.3,4.7,0.99,10.0,377,-2.1546755721655892,-0.08993509634677772,3
511,19.7,68.0,4.7,8.4,24.8,5.5,0.77,10.6,297,-2.3046223978718112,-0.34568166226552693,3
513,19.7,42.8,13.1,20.8,21.3,3.5,0.96,11.3,452,-2.2435819363522045,0.8386908741483111,3
515,23.6,42.9,24.6,27.4,21.3,6.7,0.88,10.9,562,-1.2260027743486752,1.479176417134579,3
517,24.1,61.0,10.3,15.5,20.0,4.1,0.94,14.3,203,-2.676534739139477,0.5598483310361957,3
